"TransactionID","CustomerID","Product","Variation","Date"
"5167","167","Credit Card","Rewards","09/19/2021"
"5168","168","Auto Loan","Refinance","08/04/2022"
"5169","169","Certificate of Deposit","5-Year","10/30/2022"
"5170","170","Student Loan","Federal","11/09/2021"
"5171","171","Investment Account","Managed","06/13/2024"
"5172","172","Business Loan","SBA Loan","06/18/2022"
"5173","173","Mortgage","Interest Only","09/23/2023"
"5174","174","Mortgage","Adjustable Rate","03/05/2025"
"5175","175","Retirement Account","Simple IRA","04/20/2020"
"5176","176","Checking Account","Interest Bearing","06/28/2020"
"5177","177","Credit Card","Cashback","09/03/2022"
"5178","178","Credit Card","Rewards","09/15/2024"
"5179","179","Auto Loan","New Car","12/05/2023"
"5180","180","Auto Loan","New Car","12/04/2024"
"5181","181","Investment Account","Managed","06/29/2020"
"5182","182","Certificate of Deposit","2-Year","01/01/2021"
"5183","183","Checking Account","Senior","03/28/2024"
"5184","184","Student Loan","Private","06/22/2020"
"5185","185","Auto Loan","New Car","03/26/2020"
"5186","186","Credit Card","Cashback","07/01/2021"
"5187","187","Business Loan","Equipment Financing","09/02/2024"
"5188","188","Checking Account","Interest Bearing","06/17/2024"
"5189","189","Certificate of Deposit","1-Year","08/04/2022"
"5190","190","Credit Card","Cashback","12/22/2022"
"5191","191","Retirement Account","Simple IRA","03/15/2025"
"5192","192","Business Loan","SBA Loan","05/22/2024"
"5193","193","Certificate of Deposit","1-Year","08/03/2024"
"5194","194","Investment Account","Self-Directed","03/06/2021"
"5195","195","Mortgage","Fixed Rate","07/27/2024"
"5196","196","Mortgage","Reverse Mortgage","10/19/2021"
"5197","197","Business Loan","SBA Loan","10/29/2023"
"5198","198","Savings Account","Children's Savings","09/20/2020"
"5199","199","Home Equity Loan","Fixed Rate","06/17/2020"
"5200","200","Business Loan","SBA Loan","11/12/2020"
"5201","201","Certificate of Deposit","2-Year","02/07/2021"
"5202","202","Certificate of Deposit","10-Year","07/31/2020"
"5203","203","Student Loan","Refinance","05/10/2024"
"5204","204","Credit Card","Rewards","09/25/2021"
"5205","205","Mortgage","Adjustable Rate","03/02/2025"
"5206","206","Student Loan","Federal","11/04/2024"
"5207","207","Savings Account","High Yield","08/19/2022"
"5208","208","Credit Card","Cashback","10/16/2023"
"5209","209","Certificate of Deposit","5-Year","11/02/2021"
"5210","210","Checking Account","Senior","05/02/2020"
"5211","211","Student Loan","Private","11/11/2022"
"5212","212","Business Loan","Line of Credit","05/26/2023"
"5213","213","Business Loan","Term Loan","07/06/2021"
"5214","214","Personal Loan","Secured","05/26/2022"
"5215","215","Checking Account","Interest Bearing","01/28/2021"
"5216","216","Student Loan","Private","07/10/2021"
"5217","217","Home Equity Loan","Variable Rate","09/17/2020"
"5218","218","Retirement Account","Simple IRA","06/07/2021"
"5219","219","Retirement Account","IRA","11/03/2024"
"5220","220","Auto Loan","New Car","08/20/2020"
"5221","221","Personal Loan","Debt Consolidation","10/14/2020"
"5222","222","Personal Loan","Home Improvement","03/01/2024"
"5223","223","Student Loan","Private","01/10/2021"
"5224","224","Certificate of Deposit","10-Year","07/24/2022"
"5225","225","Personal Loan","Secured","12/14/2024"
"5226","226","Business Loan","SBA Loan","12/14/2021"
"5227","227","Auto Loan","Lease","04/11/2022"
"5228","228","Savings Account","High Yield","03/27/2020"
"5229","229","Certificate of Deposit","2-Year","06/15/2022"
"5230","230","Checking Account","Senior","03/23/2025"
"5231","231","Investment Account","Managed","11/23/2021"
"5232","232","Investment Account","Self-Directed","06/18/2020"
"5233","233","Personal Loan","Home Improvement","06/06/2023"
"5234","234","Mortgage","Adjustable Rate","06/05/2024"
"5235","235","Auto Loan","Used Car","02/28/2025"
"5236","236","Personal Loan","Unsecured","05/19/2023"
"5237","237","Student Loan","Refinance","05/07/2021"
"5238","238","Auto Loan","New Car","08/28/2024"
"5239","239","Home Equity Loan","Fixed Rate","04/12/2024"
"5240","240","Business Loan","Line of Credit","01/22/2020"
"5241","241","Checking Account","Interest Bearing","08/18/2023"
"5242","242","Business Loan","Equipment Financing","01/03/2025"
"5243","243","Personal Loan","Secured","02/01/2020"
"5244","244","Credit Card","Business","08/27/2023"
"5245","245","Home Equity Loan","Variable Rate","12/10/2020"
"5246","246","Credit Card","Rewards","03/18/2025"
"5247","247","Investment Account","Managed","03/06/2023"
"5248","248","Business Loan","Equipment Financing","04/28/2021"
"5249","249","Business Loan","Term Loan","03/15/2024"
"5250","250","Retirement Account","Roth IRA","01/02/2025"
"5251","251","Auto Loan","Used Car","07/30/2021"
"5252","252","Checking Account","Senior","02/27/2025"
"5253","253","Certificate of Deposit","1-Year","06/02/2024"
"5254","254","Checking Account","Interest Bearing","12/22/2023"
"5255","255","Investment Account","Robo Advisor","10/02/2022"
"5256","256","Checking Account","Senior","11/11/2020"
"5257","257","Retirement Account","Roth IRA","02/05/2022"
"5258","258","Credit Card","Business","07/13/2022"
"5259","259","Checking Account","Interest Bearing","02/19/2025"
"5260","260","Personal Loan","Secured","12/22/2022"
"5261","261","Mortgage","Reverse Mortgage","08/10/2021"
"5262","262","Student Loan","Refinance","10/08/2020"
"5263","263","Retirement Account","IRA","01/10/2025"
"5264","264","Credit Card","Business","03/01/2025"
"5265","265","Personal Loan","Unsecured","02/04/2020"
"5266","266","Credit Card","Business","06/01/2024"
"5267","267","Retirement Account","Simple IRA","01/09/2021"
"5268","268","Checking Account","Premium","07/10/2023"
"5269","269","Auto Loan","New Car","02/22/2020"
"5270","270","Mortgage","Fixed Rate","03/19/2022"
"5271","271","Home Equity Loan","Variable Rate","05/30/2021"
"5272","272","Home Equity Loan","Variable Rate","05/28/2021"
"5273","273","Checking Account","Interest Bearing","10/17/2020"
"5274","274","Business Loan","Equipment Financing","07/17/2022"
"5275","275","Business Loan","Term Loan","04/29/2021"
"5276","276","Retirement Account","IRA","03/11/2025"
"5277","277","Investment Account","Self-Directed","12/28/2023"
"5278","278","Savings Account","Regular","10/14/2021"
"5279","279","Auto Loan","New Car","02/12/2023"
"5280","280","Checking Account","Interest Bearing","02/12/2023"
"5281","281","Mortgage","Adjustable Rate","02/13/2022"
"5282","282","Certificate of Deposit","1-Year","05/03/2020"
"5283","283","Retirement Account","IRA","11/20/2024"
"5284","284","Mortgage","Fixed Rate","08/11/2023"
"5285","285","Savings Account","Regular","03/17/2025"
"5286","286","Credit Card","Business","06/14/2024"
"5287","287","Checking Account","Basic","05/03/2024"
"5288","288","Auto Loan","Lease","11/11/2023"
"5289","289","Home Equity Loan","Variable Rate","09/29/2020"
"5290","290","Business Loan","Term Loan","10/26/2021"
"5291","291","Business Loan","Term Loan","11/06/2023"
"5292","292","Business Loan","SBA Loan","05/30/2023"
"5293","293","Savings Account","High Yield","03/11/2023"
"5294","294","Retirement Account","Simple IRA","05/29/2023"
"5295","295","Credit Card","Rewards","12/01/2024"
"5296","296","Personal Loan","Debt Consolidation","07/17/2020"
"5297","297","Credit Card","Rewards","03/23/2020"
"5298","298","Savings Account","High Yield","07/17/2022"
"5299","299","Credit Card","Cashback","05/21/2023"
"5300","300","Mortgage","Reverse Mortgage","03/06/2024"
"5301","301","Personal Loan","Debt Consolidation","08/23/2023"
"5302","302","Savings Account","Regular","10/14/2024"
"5303","303","Business Loan","SBA Loan","01/12/2021"
"5304","304","Mortgage","Fixed Rate","07/20/2023"
"5305","305","Personal Loan","Debt Consolidation","07/19/2024"
"5306","306","Retirement Account","401K","09/09/2022"
"5307","307","Savings Account","High Yield","12/20/2022"
"5308","308","Business Loan","Line of Credit","12/12/2020"
"5309","309","Credit Card","Business","01/31/2020"
"5310","310","Mortgage","Reverse Mortgage","03/30/2024"
"5311","311","Auto Loan","Lease","10/15/2023"
"5312","312","Certificate of Deposit","5-Year","07/05/2021"
"5313","313","Credit Card","Business","09/06/2023"
"5314","314","Auto Loan","Refinance","10/02/2020"
"5315","315","Certificate of Deposit","5-Year","01/14/2022"
"5316","316","Investment Account","Self-Directed","02/21/2021"
"5317","317","Certificate of Deposit","1-Year","04/12/2022"
"5318","318","Personal Loan","Secured","12/28/2024"
"5319","319","Home Equity Loan","Variable Rate","06/17/2023"
"5320","320","Retirement Account","Simple IRA","03/19/2023"
"5321","321","Student Loan","Private","12/21/2022"
"5322","322","Student Loan","Private","01/02/2022"
"5323","323","Auto Loan","New Car","03/04/2021"
"5324","324","Student Loan","Refinance","09/07/2020"
"5325","325","Home Equity Loan","Variable Rate","01/11/2020"
"5326","326","Retirement Account","401K","02/20/2021"
"5327","327","Mortgage","Interest Only","07/03/2021"
"5328","328","Credit Card","Rewards","07/30/2021"
"5329","329","Investment Account","Brokerage","04/29/2023"
"5330","330","Investment Account","Self-Directed","07/03/2021"
"5331","331","Business Loan","Equipment Financing","02/05/2022"
"5332","332","Mortgage","Reverse Mortgage","04/01/2021"
"5333","333","Home Equity Loan","Variable Rate","07/16/2023"
"5334","334","Savings Account","Children's Savings","08/01/2022"
"5335","335","Business Loan","Line of Credit","03/04/2024"
"5336","336","Credit Card","Travel","08/31/2020"
"5337","337","Investment Account","Robo Advisor","10/06/2020"
"5338","338","Certificate of Deposit","5-Year","03/14/2022"
"5339","339","Auto Loan","Refinance","03/17/2023"
"5340","340","Credit Card","Rewards","04/27/2024"
"5341","341","Checking Account","Senior","02/06/2023"
"5342","342","Student Loan","Private","01/04/2024"
"5343","343","Retirement Account","401K","03/24/2021"
"5344","344","Retirement Account","401K","08/13/2022"
"5345","345","Credit Card","Business","04/08/2020"
"5346","346","Auto Loan","Used Car","04/27/2024"
"5347","347","Savings Account","High Yield","05/01/2022"
"5348","348","Auto Loan","New Car","02/01/2023"
"5349","349","Mortgage","Fixed Rate","05/01/2023"
"5350","350","Investment Account","Managed","09/18/2021"
"5351","351","Mortgage","Fixed Rate","02/15/2020"
"5352","352","Credit Card","Rewards","07/27/2021"
"5353","353","Personal Loan","Debt Consolidation","09/17/2021"
"5354","354","Checking Account","Premium","05/06/2023"
"5355","355","Auto Loan","Lease","02/02/2022"
"5356","356","Business Loan","Term Loan","04/14/2020"
"5357","357","Credit Card","Cashback","01/29/2020"
"5358","358","Certificate of Deposit","2-Year","06/17/2020"
"5359","359","Savings Account","Children's Savings","03/30/2024"
"5360","360","Home Equity Loan","Fixed Rate","09/25/2021"
"5361","361","Credit Card","Travel","05/18/2022"
"5362","362","Savings Account","Money Market","04/03/2024"
"5363","363","Auto Loan","Refinance","06/06/2022"
"5364","364","Mortgage","Interest Only","04/01/2021"
"5365","365","Mortgage","Fixed Rate","02/21/2024"
"5366","366","Personal Loan","Home Improvement","03/18/2021"
"5367","367","Student Loan","Refinance","09/22/2023"
"5368","368","Certificate of Deposit","1-Year","06/19/2024"
"5369","369","Auto Loan","New Car","03/06/2022"
"5370","370","Business Loan","Term Loan","02/02/2021"
"5371","371","Student Loan","Federal","07/04/2020"
"5372","372","Retirement Account","IRA","05/07/2024"
"5373","373","Auto Loan","Used Car","10/24/2020"
"5374","374","Retirement Account","IRA","04/20/2022"
"5375","375","Retirement Account","IRA","06/14/2024"
"5376","376","Home Equity Loan","Fixed Rate","06/14/2021"
"5377","377","Auto Loan","Used Car","01/18/2024"
"5378","378","Auto Loan","Used Car","02/05/2024"
"5379","379","Credit Card","Business","01/05/2023"
"5380","380","Retirement Account","Simple IRA","10/03/2021"
"5381","381","Business Loan","Term Loan","10/19/2021"
"5382","382","Business Loan","SBA Loan","09/01/2020"
"5383","383","Checking Account","Premium","12/18/2023"
"5384","384","Retirement Account","Simple IRA","10/14/2022"
"5385","385","Certificate of Deposit","5-Year","09/12/2024"
"5386","386","Student Loan","Refinance","05/15/2020"
"5387","387","Checking Account","Interest Bearing","10/13/2024"
"5388","388","Auto Loan","New Car","03/06/2023"
"5389","389","Investment Account","Brokerage","07/23/2020"
"5390","390","Credit Card","Travel","06/02/2022"
"5391","391","Mortgage","Adjustable Rate","08/11/2024"
"5392","392","Mortgage","Fixed Rate","02/26/2025"
"5393","393","Business Loan","Equipment Financing","07/09/2021"
"5394","394","Auto Loan","Lease","02/29/2020"
"5395","395","Certificate of Deposit","10-Year","02/05/2025"
"5396","396","Investment Account","Self-Directed","09/05/2020"
"5397","397","Credit Card","Cashback","12/09/2023"
"5398","398","Mortgage","Fixed Rate","06/03/2022"
"5399","399","Checking Account","Premium","09/29/2021"
"5400","400","Business Loan","Term Loan","09/09/2022"
"5401","401","Investment Account","Brokerage","01/31/2021"
"5402","402","Student Loan","Private","02/14/2020"
"5403","403","Investment Account","Managed","01/02/2020"
"5404","404","Certificate of Deposit","2-Year","03/31/2023"
"5405","405","Retirement Account","Roth IRA","05/05/2023"
"5406","406","Personal Loan","Secured","12/06/2021"
"5407","407","Home Equity Loan","Variable Rate","01/27/2025"
"5408","408","Mortgage","Fixed Rate","07/12/2021"
"5409","409","Credit Card","Cashback","08/13/2020"
"5410","410","Investment Account","Self-Directed","10/22/2022"
"5411","411","Mortgage","Reverse Mortgage","05/20/2023"
"5412","412","Personal Loan","Debt Consolidation","10/16/2024"
"5413","413","Business Loan","Term Loan","08/09/2023"
"5414","414","Checking Account","Basic","01/08/2023"
"5415","415","Business Loan","Term Loan","04/28/2020"
"5416","416","Personal Loan","Unsecured","08/20/2021"
"5417","417","Certificate of Deposit","5-Year","01/28/2025"
"5418","418","Certificate of Deposit","2-Year","07/21/2021"
"5419","419","Investment Account","Self-Directed","07/30/2022"
"5420","420","Personal Loan","Secured","07/28/2021"
"5421","421","Auto Loan","Refinance","01/08/2020"
"5422","422","Retirement Account","401K","09/14/2024"
"5423","423","Credit Card","Rewards","03/23/2025"
"5424","424","Auto Loan","Used Car","08/22/2020"
"5425","425","Home Equity Loan","Fixed Rate","03/02/2021"
"5426","426","Auto Loan","Refinance","08/24/2021"
"5427","427","Certificate of Deposit","10-Year","06/27/2024"
"5428","428","Business Loan","SBA Loan","10/05/2020"
"5429","429","Investment Account","Managed","06/30/2022"
"5430","430","Credit Card","Travel","05/02/2022"
"5431","431","Student Loan","Federal","11/20/2024"
"5432","432","Auto Loan","New Car","10/01/2021"
"5433","433","Business Loan","SBA Loan","12/25/2020"
"5434","434","Mortgage","Reverse Mortgage","04/18/2023"
"5435","435","Student Loan","Refinance","08/27/2021"
"5436","436","Mortgage","Fixed Rate","09/13/2024"
"5437","437","Retirement Account","Simple IRA","07/30/2020"
"5438","438","Credit Card","Rewards","12/16/2021"
"5439","439","Checking Account","Interest Bearing","07/02/2021"
"5440","440","Retirement Account","Roth IRA","08/05/2020"
"5441","441","Certificate of Deposit","5-Year","01/14/2024"
"5442","442","Student Loan","Federal","05/25/2020"
"5443","443","Business Loan","Equipment Financing","12/18/2022"
"5444","444","Personal Loan","Secured","10/02/2021"
"5445","445","Credit Card","Business","11/27/2023"
"5446","446","Home Equity Loan","Fixed Rate","08/03/2024"
"5447","447","Investment Account","Robo Advisor","02/23/2024"
"5448","448","Investment Account","Self-Directed","11/22/2022"
"5449","449","Home Equity Loan","Fixed Rate","09/16/2022"
"5450","450","Home Equity Loan","Variable Rate","04/06/2024"
"5451","451","Checking Account","Senior","02/14/2021"
"5452","452","Retirement Account","401K","12/28/2023"
"5453","453","Mortgage","Reverse Mortgage","10/26/2023"
"5454","454","Checking Account","Basic","10/06/2024"
"5455","455","Credit Card","Rewards","05/26/2024"
"5456","456","Investment Account","Self-Directed","04/19/2023"
"5457","457","Business Loan","Equipment Financing","09/19/2024"
"5458","458","Business Loan","SBA Loan","12/09/2022"
"5459","459","Personal Loan","Home Improvement","11/17/2020"
"5460","460","Savings Account","High Yield","03/02/2024"
"5461","461","Business Loan","Equipment Financing","01/11/2023"
"5462","462","Personal Loan","Unsecured","06/19/2021"
"5463","463","Credit Card","Cashback","03/09/2020"
"5464","464","Retirement Account","Simple IRA","10/28/2022"
"5465","465","Student Loan","Private","07/04/2022"
"5466","466","Mortgage","Adjustable Rate","01/30/2022"
"5467","467","Certificate of Deposit","1-Year","01/27/2023"
"5468","468","Credit Card","Rewards","01/31/2025"
"5469","469","Credit Card","Rewards","12/10/2021"
"5470","470","Mortgage","Interest Only","04/06/2022"
"5471","471","Retirement Account","Roth IRA","07/26/2020"
"5472","472","Mortgage","Fixed Rate","03/25/2022"
"5473","473","Student Loan","Consolidation","06/16/2022"
"5474","474","Business Loan","Equipment Financing","04/30/2023"
"5475","475","Home Equity Loan","Fixed Rate","10/27/2023"
"5476","476","Mortgage","Interest Only","01/26/2020"
"5477","477","Business Loan","Line of Credit","05/21/2021"
"5478","478","Checking Account","Interest Bearing","05/27/2020"
"5479","479","Certificate of Deposit","1-Year","05/10/2022"
"5480","480","Credit Card","Rewards","01/12/2021"
"5481","481","Mortgage","Adjustable Rate","03/19/2024"
"5482","482","Student Loan","Refinance","09/06/2022"
"5483","483","Credit Card","Travel","03/05/2020"
"5484","484","Checking Account","Premium","12/29/2021"
"5485","485","Home Equity Loan","Variable Rate","03/13/2022"
"5486","486","Business Loan","SBA Loan","09/20/2021"
"5487","487","Savings Account","Regular","08/19/2021"
"5488","488","Business Loan","Line of Credit","01/17/2025"
"5489","489","Business Loan","Term Loan","10/05/2020"
"5490","490","Auto Loan","Used Car","12/31/2020"
"5491","491","Mortgage","Adjustable Rate","12/16/2024"
"5492","492","Mortgage","Adjustable Rate","02/24/2025"
"5493","493","Investment Account","Brokerage","05/13/2021"
"5494","494","Home Equity Loan","Variable Rate","12/23/2024"
"5495","495","Investment Account","Self-Directed","06/17/2020"
"5496","496","Investment Account","Managed","04/06/2021"
"5497","497","Personal Loan","Debt Consolidation","02/23/2021"
"5498","498","Checking Account","Senior","04/10/2024"
"5499","499","Auto Loan","Used Car","05/25/2022"
"5500","500","Business Loan","Term Loan","02/09/2020"
"5501","501","Auto Loan","New Car","03/11/2024"
"5502","502","Retirement Account","401K","10/09/2024"
"5503","503","Savings Account","Regular","12/28/2020"
"5504","504","Business Loan","SBA Loan","02/19/2024"
"5505","505","Credit Card","Travel","03/24/2020"
"5506","506","Business Loan","SBA Loan","06/15/2023"
"5507","507","Checking Account","Basic","12/09/2020"
"5508","508","Credit Card","Travel","01/21/2024"
"5509","509","Credit Card","Rewards","09/25/2024"
"5510","510","Credit Card","Business","05/23/2021"
"5511","511","Auto Loan","Lease","04/20/2022"
"5512","512","Certificate of Deposit","10-Year","12/03/2020"
"5513","513","Investment Account","Managed","10/18/2022"
"5514","514","Student Loan","Consolidation","05/23/2022"
"5515","515","Certificate of Deposit","2-Year","05/11/2022"
"5516","516","Retirement Account","401K","11/29/2024"
"5517","517","Mortgage","Reverse Mortgage","09/23/2024"
"5518","518","Credit Card","Business","12/25/2024"
"5519","519","Credit Card","Travel","06/30/2020"
"5520","520","Business Loan","Term Loan","01/07/2020"
"5521","521","Checking Account","Senior","10/26/2021"
"5522","522","Investment Account","Managed","02/11/2021"
"5523","523","Retirement Account","Roth IRA","08/15/2023"
"5524","524","Business Loan","Line of Credit","09/18/2020"
"5525","525","Credit Card","Rewards","11/23/2023"
"5526","526","Investment Account","Brokerage","06/02/2024"
"5527","527","Savings Account","High Yield","04/24/2024"
