CensusDateKey,CensusDateDate,CensusDateDayInQuarter,CensusDateDayName,CensusDateDayNameAbbrevation,CensusDateDayOfMonth,CensusDateDayOfWeek,CensusDateDayOfWeekInMonth,CensusDateDayOfYear,CensusDateFirstDayOfMonth,CensusDateFirstDayOfQuarter,CensusDateFirstDayofYear,CensusDateHoliday,CensusDateIsHoliday,CensusDateIsWeekday,CensusDateIsWeekend,CensusDateLastDayOfQuarter,CensusDateLastDayofMonth,CensusDateLastDayofYear,CensusDateMonth,CensusDateMonthAbbrevation,CensusDateMonthName,CensusDateMonthOfQuarter,CensusDateQuarter,CensusDateQuarterName,CensusDateQuarterShortName,CensusDateWeekOfMonth,CensusDateWeekOfQuarter,CensusDateWeekOfYear,CensusDateYYYYMM,CensusDateYear,CensusDateYearAndQuarter,CensusDateYearMonth,CensusDateYearName,CensusDateFirstDayOfFiscalYear,CensusDateFiscalDateKey,CensusDateFiscalDayOfYear,CensusDateFiscalMonth,CensusDateFiscalQuarter,CensusDateFiscalQuarterName,CensusDateFiscalWeekOfYear,CensusDateFiscalYear,CensusDateIsFirstDayOfFiscalYear,CensusDateIsLastOfFiscalYear,CensusDateLastDayOfFiscalYear
20210112,2021-01-12 00:00:00,12,Tuesday,Tue,12,3,2,12,2021-01-01 00:00:00,2021-01-01 00:00:00,2021-01-01 00:00:00,,False,True,False,2021-03-31 00:00:00,2021-01-31 00:00:00,2021-12-31 00:00:00,1,Jan,January,1,1,First,Q1,2,2,2,2021/01,2021,2021/Q1,2021/Jan,CY 2021,2020-10-01 00:00:00,20210112,104,4,2,Q2,15,FY2021,0,0,2021-09-30 00:00:00
20210113,2021-01-13 00:00:00,13,Wednesday,Wed,13,4,2,13,2021-01-01 00:00:00,2021-01-01 00:00:00,2021-01-01 00:00:00,,False,True,False,2021-03-31 00:00:00,2021-01-31 00:00:00,2021-12-31 00:00:00,1,Jan,January,1,1,First,Q1,2,2,2,2021/01,2021,2021/Q1,2021/Jan,CY 2021,2020-10-01 00:00:00,20210113,105,4,2,Q2,15,FY2021,0,0,2021-09-30 00:00:00
20210114,2021-01-14 00:00:00,14,Thursday,Thu,14,5,2,14,2021-01-01 00:00:00,2021-01-01 00:00:00,2021-01-01 00:00:00,,False,True,False,2021-03-31 00:00:00,2021-01-31 00:00:00,2021-12-31 00:00:00,1,Jan,January,1,1,First,Q1,2,2,2,2021/01,2021,2021/Q1,2021/Jan,CY 2021,2020-10-01 00:00:00,20210114,106,4,2,Q2,16,FY2021,0,0,2021-09-30 00:00:00
20210115,2021-01-15 00:00:00,15,Friday,Fri,15,6,3,15,2021-01-01 00:00:00,2021-01-01 00:00:00,2021-01-01 00:00:00,,False,True,False,2021-03-31 00:00:00,2021-01-31 00:00:00,2021-12-31 00:00:00,1,Jan,January,1,1,First,Q1,3,3,2,2021/01,2021,2021/Q1,2021/Jan,CY 2021,2020-10-01 00:00:00,20210115,107,4,2,Q2,16,FY2021,0,0,2021-09-30 00:00:00
20210116,2021-01-16 00:00:00,16,Saturday,Sat,16,7,3,16,2021-01-01 00:00:00,2021-01-01 00:00:00,2021-01-01 00:00:00,,False,False,True,2021-03-31 00:00:00,2021-01-31 00:00:00,2021-12-31 00:00:00,1,Jan,January,1,1,First,Q1,3,3,2,2021/01,2021,2021/Q1,2021/Jan,CY 2021,2020-10-01 00:00:00,20210116,108,4,2,Q2,16,FY2021,0,0,2021-09-30 00:00:00
20210117,2021-01-17 00:00:00,17,Sunday,Sun,17,1,3,17,2021-01-01 00:00:00,2021-01-01 00:00:00,2021-01-01 00:00:00,,False,False,True,2021-03-31 00:00:00,2021-01-31 00:00:00,2021-12-31 00:00:00,1,Jan,January,1,1,First,Q1,3,3,2,2021/01,2021,2021/Q1,2021/Jan,CY 2021,2020-10-01 00:00:00,20210117,109,4,2,Q2,16,FY2021,0,0,2021-09-30 00:00:00
20210118,2021-01-18 00:00:00,18,Monday,Mon,18,2,3,18,2021-01-01 00:00:00,2021-01-01 00:00:00,2021-01-01 00:00:00,,False,True,False,2021-03-31 00:00:00,2021-01-31 00:00:00,2021-12-31 00:00:00,1,Jan,January,1,1,First,Q1,3,3,3,2021/01,2021,2021/Q1,2021/Jan,CY 2021,2020-10-01 00:00:00,20210118,110,4,2,Q2,16,FY2021,0,0,2021-09-30 00:00:00
20210119,2021-01-19 00:00:00,19,Tuesday,Tue,19,3,3,19,2021-01-01 00:00:00,2021-01-01 00:00:00,2021-01-01 00:00:00,,False,True,False,2021-03-31 00:00:00,2021-01-31 00:00:00,2021-12-31 00:00:00,1,Jan,January,1,1,First,Q1,3,3,3,2021/01,2021,2021/Q1,2021/Jan,CY 2021,2020-10-01 00:00:00,20210119,111,4,2,Q2,16,FY2021,0,0,2021-09-30 00:00:00
20210120,2021-01-20 00:00:00,20,Wednesday,Wed,20,4,3,20,2021-01-01 00:00:00,2021-01-01 00:00:00,2021-01-01 00:00:00,,False,True,False,2021-03-31 00:00:00,2021-01-31 00:00:00,2021-12-31 00:00:00,1,Jan,January,1,1,First,Q1,3,3,3,2021/01,2021,2021/Q1,2021/Jan,CY 2021,2020-10-01 00:00:00,20210120,112,4,2,Q2,16,FY2021,0,0,2021-09-30 00:00:00
20210121,2021-01-21 00:00:00,21,Thursday,Thu,21,5,3,21,2021-01-01 00:00:00,2021-01-01 00:00:00,2021-01-01 00:00:00,,False,True,False,2021-03-31 00:00:00,2021-01-31 00:00:00,2021-12-31 00:00:00,1,Jan,January,1,1,First,Q1,3,3,3,2021/01,2021,2021/Q1,2021/Jan,CY 2021,2020-10-01 00:00:00,20210121,113,4,2,Q2,17,FY2021,0,0,2021-09-30 00:00:00
20210122,2021-01-22 00:00:00,22,Friday,Fri,22,6,4,22,2021-01-01 00:00:00,2021-01-01 00:00:00,2021-01-01 00:00:00,,False,True,False,2021-03-31 00:00:00,2021-01-31 00:00:00,2021-12-31 00:00:00,1,Jan,January,1,1,First,Q1,4,4,3,2021/01,2021,2021/Q1,2021/Jan,CY 2021,2020-10-01 00:00:00,20210122,114,4,2,Q2,17,FY2021,0,0,2021-09-30 00:00:00
20210123,2021-01-23 00:00:00,23,Saturday,Sat,23,7,4,23,2021-01-01 00:00:00,2021-01-01 00:00:00,2021-01-01 00:00:00,,False,False,True,2021-03-31 00:00:00,2021-01-31 00:00:00,2021-12-31 00:00:00,1,Jan,January,1,1,First,Q1,4,4,3,2021/01,2021,2021/Q1,2021/Jan,CY 2021,2020-10-01 00:00:00,20210123,115,4,2,Q2,17,FY2021,0,0,2021-09-30 00:00:00
20210124,2021-01-24 00:00:00,24,Sunday,Sun,24,1,4,24,2021-01-01 00:00:00,2021-01-01 00:00:00,2021-01-01 00:00:00,,False,False,True,2021-03-31 00:00:00,2021-01-31 00:00:00,2021-12-31 00:00:00,1,Jan,January,1,1,First,Q1,4,4,3,2021/01,2021,2021/Q1,2021/Jan,CY 2021,2020-10-01 00:00:00,20210124,116,4,2,Q2,17,FY2021,0,0,2021-09-30 00:00:00
20210125,2021-01-25 00:00:00,25,Monday,Mon,25,2,4,25,2021-01-01 00:00:00,2021-01-01 00:00:00,2021-01-01 00:00:00,,False,True,False,2021-03-31 00:00:00,2021-01-31 00:00:00,2021-12-31 00:00:00,1,Jan,January,1,1,First,Q1,4,4,4,2021/01,2021,2021/Q1,2021/Jan,CY 2021,2020-10-01 00:00:00,20210125,117,4,2,Q2,17,FY2021,0,0,2021-09-30 00:00:00
20210126,2021-01-26 00:00:00,26,Tuesday,Tue,26,3,4,26,2021-01-01 00:00:00,2021-01-01 00:00:00,2021-01-01 00:00:00,,False,True,False,2021-03-31 00:00:00,2021-01-31 00:00:00,2021-12-31 00:00:00,1,Jan,January,1,1,First,Q1,4,4,4,2021/01,2021,2021/Q1,2021/Jan,CY 2021,2020-10-01 00:00:00,20210126,118,4,2,Q2,17,FY2021,0,0,2021-09-30 00:00:00
20210127,2021-01-27 00:00:00,27,Wednesday,Wed,27,4,4,27,2021-01-01 00:00:00,2021-01-01 00:00:00,2021-01-01 00:00:00,,False,True,False,2021-03-31 00:00:00,2021-01-31 00:00:00,2021-12-31 00:00:00,1,Jan,January,1,1,First,Q1,4,4,4,2021/01,2021,2021/Q1,2021/Jan,CY 2021,2020-10-01 00:00:00,20210127,119,4,2,Q2,17,FY2021,0,0,2021-09-30 00:00:00
20210128,2021-01-28 00:00:00,28,Thursday,Thu,28,5,4,28,2021-01-01 00:00:00,2021-01-01 00:00:00,2021-01-01 00:00:00,,False,True,False,2021-03-31 00:00:00,2021-01-31 00:00:00,2021-12-31 00:00:00,1,Jan,January,1,1,First,Q1,4,4,4,2021/01,2021,2021/Q1,2021/Jan,CY 2021,2020-10-01 00:00:00,20210128,120,4,2,Q2,18,FY2021,0,0,2021-09-30 00:00:00
20210129,2021-01-29 00:00:00,29,Friday,Fri,29,6,5,29,2021-01-01 00:00:00,2021-01-01 00:00:00,2021-01-01 00:00:00,,False,True,False,2021-03-31 00:00:00,2021-01-31 00:00:00,2021-12-31 00:00:00,1,Jan,January,1,1,First,Q1,5,5,4,2021/01,2021,2021/Q1,2021/Jan,CY 2021,2020-10-01 00:00:00,20210129,121,4,2,Q2,18,FY2021,0,0,2021-09-30 00:00:00
20210130,2021-01-30 00:00:00,30,Saturday,Sat,30,7,5,30,2021-01-01 00:00:00,2021-01-01 00:00:00,2021-01-01 00:00:00,,False,False,True,2021-03-31 00:00:00,2021-01-31 00:00:00,2021-12-31 00:00:00,1,Jan,January,1,1,First,Q1,5,5,4,2021/01,2021,2021/Q1,2021/Jan,CY 2021,2020-10-01 00:00:00,20210130,122,4,2,Q2,18,FY2021,0,0,2021-09-30 00:00:00
20210131,2021-01-31 00:00:00,31,Sunday,Sun,31,1,5,31,2021-01-01 00:00:00,2021-01-01 00:00:00,2021-01-01 00:00:00,,False,False,True,2021-03-31 00:00:00,2021-01-31 00:00:00,2021-12-31 00:00:00,1,Jan,January,1,1,First,Q1,5,5,4,2021/01,2021,2021/Q1,2021/Jan,CY 2021,2020-10-01 00:00:00,20210131,123,4,2,Q2,18,FY2021,0,0,2021-09-30 00:00:00
20210201,2021-02-01 00:00:00,32,Monday,Mon,1,2,1,32,2021-02-01 00:00:00,2021-01-01 00:00:00,2021-01-01 00:00:00,,False,True,False,2021-03-31 00:00:00,2021-02-28 00:00:00,2021-12-31 00:00:00,2,Feb,February,2,1,First,Q1,1,5,5,2021/02,2021,2021/Q1,2021/Feb,CY 2021,2020-10-01 00:00:00,20210201,124,5,2,Q2,18,FY2021,0,0,2021-09-30 00:00:00
20210202,2021-02-02 00:00:00,33,Tuesday,Tue,2,3,1,33,2021-02-01 00:00:00,2021-01-01 00:00:00,2021-01-01 00:00:00,,False,True,False,2021-03-31 00:00:00,2021-02-28 00:00:00,2021-12-31 00:00:00,2,Feb,February,2,1,First,Q1,1,5,5,2021/02,2021,2021/Q1,2021/Feb,CY 2021,2020-10-01 00:00:00,20210202,125,5,2,Q2,18,FY2021,0,0,2021-09-30 00:00:00
20210203,2021-02-03 00:00:00,34,Wednesday,Wed,3,4,1,34,2021-02-01 00:00:00,2021-01-01 00:00:00,2021-01-01 00:00:00,,False,True,False,2021-03-31 00:00:00,2021-02-28 00:00:00,2021-12-31 00:00:00,2,Feb,February,2,1,First,Q1,1,5,5,2021/02,2021,2021/Q1,2021/Feb,CY 2021,2020-10-01 00:00:00,20210203,126,5,2,Q2,18,FY2021,0,0,2021-09-30 00:00:00
20210204,2021-02-04 00:00:00,35,Thursday,Thu,4,5,1,35,2021-02-01 00:00:00,2021-01-01 00:00:00,2021-01-01 00:00:00,,False,True,False,2021-03-31 00:00:00,2021-02-28 00:00:00,2021-12-31 00:00:00,2,Feb,February,2,1,First,Q1,1,5,5,2021/02,2021,2021/Q1,2021/Feb,CY 2021,2020-10-01 00:00:00,20210204,127,5,2,Q2,19,FY2021,0,0,2021-09-30 00:00:00
20210205,2021-02-05 00:00:00,36,Friday,Fri,5,6,1,36,2021-02-01 00:00:00,2021-01-01 00:00:00,2021-01-01 00:00:00,,False,True,False,2021-03-31 00:00:00,2021-02-28 00:00:00,2021-12-31 00:00:00,2,Feb,February,2,1,First,Q1,1,6,5,2021/02,2021,2021/Q1,2021/Feb,CY 2021,2020-10-01 00:00:00,20210205,128,5,2,Q2,19,FY2021,0,0,2021-09-30 00:00:00
20210206,2021-02-06 00:00:00,37,Saturday,Sat,6,7,1,37,2021-02-01 00:00:00,2021-01-01 00:00:00,2021-01-01 00:00:00,,False,False,True,2021-03-31 00:00:00,2021-02-28 00:00:00,2021-12-31 00:00:00,2,Feb,February,2,1,First,Q1,1,6,5,2021/02,2021,2021/Q1,2021/Feb,CY 2021,2020-10-01 00:00:00,20210206,129,5,2,Q2,19,FY2021,0,0,2021-09-30 00:00:00
20210207,2021-02-07 00:00:00,38,Sunday,Sun,7,1,1,38,2021-02-01 00:00:00,2021-01-01 00:00:00,2021-01-01 00:00:00,,False,False,True,2021-03-31 00:00:00,2021-02-28 00:00:00,2021-12-31 00:00:00,2,Feb,February,2,1,First,Q1,1,6,5,2021/02,2021,2021/Q1,2021/Feb,CY 2021,2020-10-01 00:00:00,20210207,130,5,2,Q2,19,FY2021,0,0,2021-09-30 00:00:00
20210208,2021-02-08 00:00:00,39,Monday,Mon,8,2,2,39,2021-02-01 00:00:00,2021-01-01 00:00:00,2021-01-01 00:00:00,,False,True,False,2021-03-31 00:00:00,2021-02-28 00:00:00,2021-12-31 00:00:00,2,Feb,February,2,1,First,Q1,2,6,6,2021/02,2021,2021/Q1,2021/Feb,CY 2021,2020-10-01 00:00:00,20210208,131,5,2,Q2,19,FY2021,0,0,2021-09-30 00:00:00
20210209,2021-02-09 00:00:00,40,Tuesday,Tue,9,3,2,40,2021-02-01 00:00:00,2021-01-01 00:00:00,2021-01-01 00:00:00,,False,True,False,2021-03-31 00:00:00,2021-02-28 00:00:00,2021-12-31 00:00:00,2,Feb,February,2,1,First,Q1,2,6,6,2021/02,2021,2021/Q1,2021/Feb,CY 2021,2020-10-01 00:00:00,20210209,132,5,2,Q2,19,FY2021,0,0,2021-09-30 00:00:00
20210210,2021-02-10 00:00:00,41,Wednesday,Wed,10,4,2,41,2021-02-01 00:00:00,2021-01-01 00:00:00,2021-01-01 00:00:00,,False,True,False,2021-03-31 00:00:00,2021-02-28 00:00:00,2021-12-31 00:00:00,2,Feb,February,2,1,First,Q1,2,6,6,2021/02,2021,2021/Q1,2021/Feb,CY 2021,2020-10-01 00:00:00,20210210,133,5,2,Q2,19,FY2021,0,0,2021-09-30 00:00:00
20210211,2021-02-11 00:00:00,42,Thursday,Thu,11,5,2,42,2021-02-01 00:00:00,2021-01-01 00:00:00,2021-01-01 00:00:00,,False,True,False,2021-03-31 00:00:00,2021-02-28 00:00:00,2021-12-31 00:00:00,2,Feb,February,2,1,First,Q1,2,6,6,2021/02,2021,2021/Q1,2021/Feb,CY 2021,2020-10-01 00:00:00,20210211,134,5,2,Q2,20,FY2021,0,0,2021-09-30 00:00:00
20210212,2021-02-12 00:00:00,43,Friday,Fri,12,6,2,43,2021-02-01 00:00:00,2021-01-01 00:00:00,2021-01-01 00:00:00,,False,True,False,2021-03-31 00:00:00,2021-02-28 00:00:00,2021-12-31 00:00:00,2,Feb,February,2,1,First,Q1,2,7,6,2021/02,2021,2021/Q1,2021/Feb,CY 2021,2020-10-01 00:00:00,20210212,135,5,2,Q2,20,FY2021,0,0,2021-09-30 00:00:00
20210213,2021-02-13 00:00:00,44,Saturday,Sat,13,7,2,44,2021-02-01 00:00:00,2021-01-01 00:00:00,2021-01-01 00:00:00,,False,False,True,2021-03-31 00:00:00,2021-02-28 00:00:00,2021-12-31 00:00:00,2,Feb,February,2,1,First,Q1,2,7,6,2021/02,2021,2021/Q1,2021/Feb,CY 2021,2020-10-01 00:00:00,20210213,136,5,2,Q2,20,FY2021,0,0,2021-09-30 00:00:00
20210214,2021-02-14 00:00:00,45,Sunday,Sun,14,1,2,45,2021-02-01 00:00:00,2021-01-01 00:00:00,2021-01-01 00:00:00,,False,False,True,2021-03-31 00:00:00,2021-02-28 00:00:00,2021-12-31 00:00:00,2,Feb,February,2,1,First,Q1,2,7,6,2021/02,2021,2021/Q1,2021/Feb,CY 2021,2020-10-01 00:00:00,20210214,137,5,2,Q2,20,FY2021,0,0,2021-09-30 00:00:00
20210215,2021-02-15 00:00:00,46,Monday,Mon,15,2,3,46,2021-02-01 00:00:00,2021-01-01 00:00:00,2021-01-01 00:00:00,,False,True,False,2021-03-31 00:00:00,2021-02-28 00:00:00,2021-12-31 00:00:00,2,Feb,February,2,1,First,Q1,3,7,7,2021/02,2021,2021/Q1,2021/Feb,CY 2021,2020-10-01 00:00:00,20210215,138,5,2,Q2,20,FY2021,0,0,2021-09-30 00:00:00
20210216,2021-02-16 00:00:00,47,Tuesday,Tue,16,3,3,47,2021-02-01 00:00:00,2021-01-01 00:00:00,2021-01-01 00:00:00,,False,True,False,2021-03-31 00:00:00,2021-02-28 00:00:00,2021-12-31 00:00:00,2,Feb,February,2,1,First,Q1,3,7,7,2021/02,2021,2021/Q1,2021/Feb,CY 2021,2020-10-01 00:00:00,20210216,139,5,2,Q2,20,FY2021,0,0,2021-09-30 00:00:00
20210217,2021-02-17 00:00:00,48,Wednesday,Wed,17,4,3,48,2021-02-01 00:00:00,2021-01-01 00:00:00,2021-01-01 00:00:00,,False,True,False,2021-03-31 00:00:00,2021-02-28 00:00:00,2021-12-31 00:00:00,2,Feb,February,2,1,First,Q1,3,7,7,2021/02,2021,2021/Q1,2021/Feb,CY 2021,2020-10-01 00:00:00,20210217,140,5,2,Q2,20,FY2021,0,0,2021-09-30 00:00:00
20210218,2021-02-18 00:00:00,49,Thursday,Thu,18,5,3,49,2021-02-01 00:00:00,2021-01-01 00:00:00,2021-01-01 00:00:00,,False,True,False,2021-03-31 00:00:00,2021-02-28 00:00:00,2021-12-31 00:00:00,2,Feb,February,2,1,First,Q1,3,7,7,2021/02,2021,2021/Q1,2021/Feb,CY 2021,2020-10-01 00:00:00,20210218,141,5,2,Q2,21,FY2021,0,0,2021-09-30 00:00:00
20210219,2021-02-19 00:00:00,50,Friday,Fri,19,6,3,50,2021-02-01 00:00:00,2021-01-01 00:00:00,2021-01-01 00:00:00,,False,True,False,2021-03-31 00:00:00,2021-02-28 00:00:00,2021-12-31 00:00:00,2,Feb,February,2,1,First,Q1,3,8,7,2021/02,2021,2021/Q1,2021/Feb,CY 2021,2020-10-01 00:00:00,20210219,142,5,2,Q2,21,FY2021,0,0,2021-09-30 00:00:00
20210220,2021-02-20 00:00:00,51,Saturday,Sat,20,7,3,51,2021-02-01 00:00:00,2021-01-01 00:00:00,2021-01-01 00:00:00,,False,False,True,2021-03-31 00:00:00,2021-02-28 00:00:00,2021-12-31 00:00:00,2,Feb,February,2,1,First,Q1,3,8,7,2021/02,2021,2021/Q1,2021/Feb,CY 2021,2020-10-01 00:00:00,20210220,143,5,2,Q2,21,FY2021,0,0,2021-09-30 00:00:00
20210221,2021-02-21 00:00:00,52,Sunday,Sun,21,1,3,52,2021-02-01 00:00:00,2021-01-01 00:00:00,2021-01-01 00:00:00,,False,False,True,2021-03-31 00:00:00,2021-02-28 00:00:00,2021-12-31 00:00:00,2,Feb,February,2,1,First,Q1,3,8,7,2021/02,2021,2021/Q1,2021/Feb,CY 2021,2020-10-01 00:00:00,20210221,144,5,2,Q2,21,FY2021,0,0,2021-09-30 00:00:00
20210222,2021-02-22 00:00:00,53,Monday,Mon,22,2,4,53,2021-02-01 00:00:00,2021-01-01 00:00:00,2021-01-01 00:00:00,,False,True,False,2021-03-31 00:00:00,2021-02-28 00:00:00,2021-12-31 00:00:00,2,Feb,February,2,1,First,Q1,4,8,8,2021/02,2021,2021/Q1,2021/Feb,CY 2021,2020-10-01 00:00:00,20210222,145,5,2,Q2,21,FY2021,0,0,2021-09-30 00:00:00
20210223,2021-02-23 00:00:00,54,Tuesday,Tue,23,3,4,54,2021-02-01 00:00:00,2021-01-01 00:00:00,2021-01-01 00:00:00,,False,True,False,2021-03-31 00:00:00,2021-02-28 00:00:00,2021-12-31 00:00:00,2,Feb,February,2,1,First,Q1,4,8,8,2021/02,2021,2021/Q1,2021/Feb,CY 2021,2020-10-01 00:00:00,20210223,146,5,2,Q2,21,FY2021,0,0,2021-09-30 00:00:00
20210224,2021-02-24 00:00:00,55,Wednesday,Wed,24,4,4,55,2021-02-01 00:00:00,2021-01-01 00:00:00,2021-01-01 00:00:00,,False,True,False,2021-03-31 00:00:00,2021-02-28 00:00:00,2021-12-31 00:00:00,2,Feb,February,2,1,First,Q1,4,8,8,2021/02,2021,2021/Q1,2021/Feb,CY 2021,2020-10-01 00:00:00,20210224,147,5,2,Q2,21,FY2021,0,0,2021-09-30 00:00:00
20210225,2021-02-25 00:00:00,56,Thursday,Thu,25,5,4,56,2021-02-01 00:00:00,2021-01-01 00:00:00,2021-01-01 00:00:00,,False,True,False,2021-03-31 00:00:00,2021-02-28 00:00:00,2021-12-31 00:00:00,2,Feb,February,2,1,First,Q1,4,8,8,2021/02,2021,2021/Q1,2021/Feb,CY 2021,2020-10-01 00:00:00,20210225,148,5,2,Q2,22,FY2021,0,0,2021-09-30 00:00:00
20210226,2021-02-26 00:00:00,57,Friday,Fri,26,6,4,57,2021-02-01 00:00:00,2021-01-01 00:00:00,2021-01-01 00:00:00,,False,True,False,2021-03-31 00:00:00,2021-02-28 00:00:00,2021-12-31 00:00:00,2,Feb,February,2,1,First,Q1,4,9,8,2021/02,2021,2021/Q1,2021/Feb,CY 2021,2020-10-01 00:00:00,20210226,149,5,2,Q2,22,FY2021,0,0,2021-09-30 00:00:00
