"TransactionID","CustomerID","Product","Variation","Rating"
"5077","37","Mortgage","Hybrid Rate","3.7"
"5078","38","Auto Loan","Refinance","4.0"
"5079","39","Business Loan","SBA Loan","3.0"
"5080","39","Credit Card","Business","4.8"
"5081","40","Certificate of Deposit","6-Month","3.1"
"5082","41","Mortgage","Fixed Rate","3.8"
"5083","41","Business Loan","Equipment Financing","4.6"
"5084","42","Business Loan","SBA Loan","4.2"
"5085","42","Credit Card","Student","4.6"
"5086","43","Credit Card","Balance Transfer","5.0"
"5087","43","Mortgage","Adjustable Rate","4.4"
"5088","44","Personal Loan","Secured","5.0"
"5089","44","Checking Account","Senior","2.9"
"5090","45","Mortgage","Fixed Rate","4.0"
"5091","46","Auto Loan","Lease","4.0"
"5092","46","Retirement Account","Simple IRA","4.4"
"5093","47","Savings Account","High Yield","3.4"
"5094","47","Personal Loan","Secured","4.7"
"5095","47","Certificate of Deposit","1-Year","4.8"
"5096","48","Mortgage","Reverse Mortgage","3.5"
"5097","48","Credit Card","Travel","4.0"
"5098","49","Checking Account","Senior","3.9"
"5099","49","Certificate of Deposit","6-Month","3.7"
"5100","50","Mortgage","Fixed Rate","2.6"
"5101","50","Business Loan","Line of Credit","4.5"
"5102","51","Savings Account","Regular","3.8"
"5103","51","Certificate of Deposit","6-Month","4.3"
"5104","52","Business Loan","Line of Credit","4.3"
"5105","53","Personal Loan","Unsecured","4.1"
"5106","53","Savings Account","High Yield","4.4"
"5107","54","Credit Card","Cashback","5.0"
"5108","54","Business Loan","Term Loan","4.3"
"5109","55","Savings Account","Money Market","5.0"
"5110","55","Checking Account","Student","4.0"
"5111","56","Credit Card","Cashback","4.1"
"5112","56","Mortgage","Interest Only","4.2"
"5113","57","Mortgage","Fixed Rate","4.8"
"5114","57","Credit Card","Student","4.5"
"5115","58","Home Equity Loan","HELOC","3.9"
"5116","58","Student Loan","Private","2.6"
"5117","59","Checking Account","Student","3.2"
"5118","59","Personal Loan","Unsecured","4.5"
"5119","60","Investment Account","Robo Advisor","3.6"
"5120","60","Retirement Account","SEP IRA","4.7"
"5121","61","Auto Loan","Refinance","4.0"
"5122","61","Investment Account","Self-Directed","4.0"
"5123","62","Business Loan","Term Loan","3.5"
"5124","62","Mortgage","Balloon Payment","3.5"
"5125","63","Savings Account","Regular","4.5"
"5126","63","Checking Account","Interest Bearing","3.5"
"5127","63","Certificate of Deposit","6-Month","4.5"
"5128","64","Mortgage","Balloon Payment","3.9"
"5129","64","Credit Card","Student","4.0"
"5130","65","Mortgage","Hybrid Rate","3.9"
"5131","65","Business Loan","Line of Credit","3.6"
"5132","66","Personal Loan","Unsecured","4.1"
"5133","66","Certificate of Deposit","3-Month","3.8"
"5134","66","Savings Account","High Yield","4.7"
"5135","67","Mortgage","Fixed Rate","3.5"
"5136","67","Business Loan","Equipment Financing","4.3"
"5137","68","Personal Loan","Home Improvement","3.9"
"5138","68","Checking Account","Student","4.0"
"5139","69","Checking Account","Interest Bearing","4.5"
"5140","69","Personal Loan","Debt Consolidation","3.5"
"5141","70","Credit Card","Secured","5.0"
"5142","70","Mortgage","Hybrid Rate","3.4"
"5143","71","Mortgage","Reverse Mortgage","4.0"
"5144","71","Credit Card","Cashback","4.1"
"5145","72","Retirement Account","401K","4.5"
"5146","72","Home Equity Loan","HELOC","3.7"
"5147","72","Investment Account","Self-Directed","4.8"
"5148","73","Business Loan","SBA Loan","4.5"
"5149","73","Credit Card","Travel","4.6"
"5150","74","Certificate of Deposit","10-Year","4.1"
"5151","74","Personal Loan","Home Improvement","3.2"
"5152","75","Auto Loan","Lease","4.0"
"5153","75","Student Loan","Private","4.4"
"5154","75","Home Equity Loan","HELOC","4.0"
"5155","76","Certificate of Deposit","10-Year","4.4"
"5156","76","Savings Account","High Yield","3.9"
"5157","76","Personal Loan","Home Improvement","3.7"
"5158","77","Retirement Account","Simple IRA","3.5"
"5159","77","Investment Account","Brokerage","3.2"
"5160","78","Mortgage","Adjustable Rate","3.5"
"5161","78","Business Loan","Term Loan","3.4"
"5162","79","Business Loan","Term Loan","4.4"
"5163","79","Mortgage","Hybrid Rate","4.1"
"5164","80","Credit Card","Student","3.8"
"5165","80","Mortgage","Hybrid Rate","4.0"
"5166","80","Business Loan","Line of Credit","3.8"
"5167","81","Credit Card","Cashback","4.3"
"5168","82","Retirement Account","SEP IRA","4.1"
"5169","82","Investment Account","Managed","4.0"
"5170","82","Auto Loan","Refinance","3.7"
"5171","83","Checking Account","Interest Bearing","4.4"
"5172","83","Personal Loan","Secured","4.2"
"5173","84","Student Loan","Refinance","3.4"
"5174","84","Home Equity Loan","Variable Rate","3.1"
"5175","85","Savings Account","High Yield","4.7"
"5176","86","Personal Loan","Debt Consolidation","3.5"
"5177","86","Checking Account","Student","4.5"
"5178","87","Credit Card","Travel","3.4"
"5179","87","Business Loan","Line of Credit","4.1"
"5180","87","Mortgage","Adjustable Rate","3.8"
"5181","88","Personal Loan","Home Improvement","4.7"
"5182","88","Checking Account","Interest Bearing","3.6"
"5183","89","Business Loan","Equipment Financing","3.2"
"5184","89","Credit Card","Rewards","3.9"
"5185","90","Certificate of Deposit","6-Month","4.0"
"5186","90","Personal Loan","Debt Consolidation","4.1"
"5187","91","Savings Account","Regular","5.0"
"5188","91","Personal Loan","Unsecured","4.1"
"5189","92","Retirement Account","IRA","3.4"
"5190","92","Student Loan","Refinance","3.6"
"5191","92","Investment Account","Brokerage","3.2"
"5192","93","Checking Account","Premium","3.3"
"5193","94","Auto Loan","New Car","2.7"
"5194","94","Retirement Account","401K","5.0"
"5195","95","Home Equity Loan","Fixed Rate","4.3"
"5196","95","Investment Account","Brokerage","3.9"
"5197","95","Auto Loan","Used Car","4.2"
"5198","96","Business Loan","SBA Loan","3.6"
"5199","96","Mortgage","Balloon Payment","4.4"
"5200","97","Personal Loan","Unsecured","3.8"
"5201","97","Savings Account","High Yield","4.1"
"5202","98","Investment Account","Robo Advisor","5.0"
"5203","98","Auto Loan","New Car","5.0"
"5204","99","Credit Card","Rewards","3.9"
"5205","99","Business Loan","Term Loan","4.2"
"5206","100","Checking Account","Basic","5.0"
"5207","100","Savings Account","High Yield","4.9"
"5208","100","Certificate of Deposit","2-Year","3.9"
"5209","101","Student Loan","Consolidation","3.9"
"5210","101","Auto Loan","Used Car","3.6"
"5211","102","Home Equity Loan","Variable Rate","4.0"
"5212","102","Retirement Account","IRA","3.5"
"5213","103","Student Loan","Federal","3.2"
"5214","103","Home Equity Loan","Fixed Rate","3.7"
"5215","104","Certificate of Deposit","3-Month","4.4"
"5216","104","Personal Loan","Secured","3.2"
"5217","104","Checking Account","Senior","3.5"
"5218","105","Auto Loan","New Car","4.7"
"5219","105","Investment Account","Brokerage","2.8"
"5220","105","Student Loan","Federal","3.0"
"5221","106","Savings Account","Regular","3.7"
"5222","106","Personal Loan","Debt Consolidation","4.0"
"5223","106","Checking Account","Student","4.3"
"5224","107","Auto Loan","Refinance","2.7"
"5225","107","Investment Account","Self-Directed","3.9"
"5226","107","Home Equity Loan","HELOC","3.7"
"5227","108","Credit Card","Student","5.0"
"5228","108","Mortgage","Adjustable Rate","3.7"
"5229","109","Student Loan","Refinance","3.2"
"5230","109","Auto Loan","Refinance","4.8"
"5231","110","Mortgage","Hybrid Rate","4.4"
"5232","110","Credit Card","Balance Transfer","4.0"
"5233","111","Mortgage","Hybrid Rate","4.5"
"5234","111","Business Loan","SBA Loan","2.6"
"5235","111","Credit Card","Secured","4.6"
"5236","112","Business Loan","Term Loan","3.4"
"5237","112","Mortgage","Hybrid Rate","3.7"
"5238","112","Credit Card","Business","4.6"
"5239","113","Personal Loan","Debt Consolidation","4.2"
"5240","113","Certificate of Deposit","6-Month","3.5"
"5241","113","Checking Account","Student","2.5"
"5242","114","Business Loan","Line of Credit","4.3"
"5243","114","Mortgage","Reverse Mortgage","3.8"
"5244","115","Auto Loan","New Car","4.8"
"5245","115","Investment Account","Self-Directed","3.7"
"5246","115","Retirement Account","Simple IRA","4.4"
"5247","116","Certificate of Deposit","2-Year","4.0"
"5248","116","Personal Loan","Debt Consolidation","3.4"
"5249","117","Business Loan","SBA Loan","3.3"
"5250","117","Credit Card","Travel","4.1"
"5251","118","Home Equity Loan","HELOC","3.4"
"5252","119","Checking Account","Basic","3.8"
"5253","119","Personal Loan","Secured","4.4"
"5254","120","Checking Account","Basic","3.5"
"5255","120","Savings Account","Money Market","3.3"
"5256","121","Investment Account","Self-Directed","5.0"
"5257","121","Student Loan","Consolidation","2.9"
"5258","121","Home Equity Loan","HELOC","4.4"
"5259","122","Credit Card","Rewards","4.4"
"5260","122","Mortgage","Adjustable Rate","4.6"
"5261","123","Investment Account","Managed","4.8"
"5262","124","Savings Account","Regular","3.7"
"5263","124","Checking Account","Premium","4.7"
"5264","125","Certificate of Deposit","2-Year","2.4"
"5265","125","Savings Account","Regular","5.0"
"5266","125","Personal Loan","Unsecured","3.5"
"5267","126","Credit Card","Balance Transfer","4.0"
"5268","126","Business Loan","Line of Credit","4.4"
"5269","126","Mortgage","Interest Only","3.2"
"5270","127","Personal Loan","Secured","4.5"
"5271","127","Checking Account","Premium","4.5"
"5272","128","Certificate of Deposit","2-Year","3.6"
"5273","128","Checking Account","Interest Bearing","3.9"
"5274","129","Home Equity Loan","HELOC","3.2"
"5275","129","Investment Account","Managed","4.2"
"5276","130","Business Loan","SBA Loan","3.7"
"5277","130","Credit Card","Student","4.7"
"5278","131","Retirement Account","Simple IRA","4.7"
"5279","131","Investment Account","Robo Advisor","3.6"
"5280","131","Auto Loan","Used Car","4.4"
"5281","132","Mortgage","Fixed Rate","4.4"
"5282","132","Credit Card","Travel","4.0"
"5283","133","Credit Card","Balance Transfer","5.0"
"5284","133","Mortgage","Fixed Rate","4.0"
"5285","133","Business Loan","SBA Loan","4.3"
"5286","134","Business Loan","Term Loan","4.2"
"5287","134","Credit Card","Cashback","4.4"
"5288","134","Mortgage","Reverse Mortgage","4.1"
"5289","135","Home Equity Loan","Variable Rate","4.5"
"5290","135","Student Loan","Consolidation","3.8"
"5291","135","Investment Account","Managed","4.4"
"5292","136","Investment Account","Self-Directed","3.6"
"5293","136","Home Equity Loan","Fixed Rate","5.0"
"5294","137","Home Equity Loan","Variable Rate","3.6"
"5295","137","Investment Account","Self-Directed","5.0"
"5296","138","Retirement Account","IRA","3.5"
"5297","138","Home Equity Loan","Variable Rate","3.6"
"5298","139","Checking Account","Premium","4.7"
"5299","139","Certificate of Deposit","2-Year","3.9"
"5300","140","Certificate of Deposit","5-Year","3.7"
"5301","140","Checking Account","Premium","2.8"
"5302","141","Certificate of Deposit","1-Year","4.0"
"5303","141","Checking Account","Senior","4.3"
"5304","142","Mortgage","Reverse Mortgage","3.3"
"5305","142","Business Loan","SBA Loan","4.6"
"5306","143","Checking Account","Interest Bearing","3.3"
"5307","143","Certificate of Deposit","3-Month","4.6"
"5308","144","Mortgage","Hybrid Rate","2.3"
"5309","144","Credit Card","Balance Transfer","4.2"
"5310","145","Student Loan","Federal","4.6"
"5311","145","Home Equity Loan","HELOC","4.3"
"5312","146","Business Loan","Equipment Financing","4.6"
"5313","147","Business Loan","Equipment Financing","3.9"
"5314","147","Mortgage","Reverse Mortgage","4.4"
"5315","147","Credit Card","Rewards","4.6"
"5316","148","Personal Loan","Home Improvement","4.0"
"5317","148","Savings Account","Money Market","2.7"
"5318","149","Home Equity Loan","Fixed Rate","3.2"
"5319","149","Retirement Account","Simple IRA","4.2"
"5320","150","Home Equity Loan","Variable Rate","4.8"
"5321","150","Auto Loan","Used Car","3.2"
"5322","150","Student Loan","Consolidation","3.9"
"5323","151","Savings Account","Money Market","4.1"
"5324","151","Personal Loan","Home Improvement","5.0"
"5325","151","Checking Account","Interest Bearing","3.9"
"5326","152","Mortgage","Interest Only","4.8"
"5327","153","Home Equity Loan","Variable Rate","5.0"
"5328","153","Investment Account","Self-Directed","5.0"
"5329","154","Auto Loan","Lease","4.8"
"5330","154","Retirement Account","Roth IRA","4.3"
"5331","155","Savings Account","High Yield","3.9"
"5332","155","Certificate of Deposit","1-Year","3.3"
"5333","156","Student Loan","Refinance","3.3"
"5334","156","Retirement Account","IRA","4.5"
"5335","157","Business Loan","Term Loan","3.5"
"5336","157","Credit Card","Business","5.0"
"5337","158","Business Loan","SBA Loan","4.6"
"5338","158","Mortgage","Balloon Payment","4.9"
"5339","159","Retirement Account","401K","3.6"
"5340","159","Student Loan","Refinance","3.9"
"5341","160","Savings Account","Money Market","4.7"
"5342","160","Checking Account","Interest Bearing","4.8"
"5343","161","Checking Account","Interest Bearing","2.7"
"5344","161","Certificate of Deposit","10-Year","2.8"
"5345","162","Personal Loan","Home Improvement","5.0"
"5346","162","Savings Account","Money Market","3.4"
"5347","163","Auto Loan","New Car","3.4"
"5348","163","Investment Account","Brokerage","4.7"
"5349","164","Home Equity Loan","Fixed Rate","3.8"
"5350","164","Investment Account","Managed","4.4"
"5351","165","Mortgage","Balloon Payment","4.2"
"5352","165","Credit Card","Rewards","4.1"
"5353","166","Home Equity Loan","Fixed Rate","3.4"
"5354","167","Mortgage","Interest Only","4.0"
"5355","167","Business Loan","SBA Loan","3.1"
"5356","168","Credit Card","Business","3.5"
"5357","168","Mortgage","Balloon Payment","3.7"
"5358","168","Business Loan","SBA Loan","3.9"
"5359","169","Checking Account","Senior","4.1"
"5360","169","Personal Loan","Home Improvement","5.0"
"5361","169","Savings Account","Money Market","3.9"
"5362","170","Investment Account","Self-Directed","4.3"
"5363","170","Student Loan","Consolidation","3.5"
"5364","171","Student Loan","Private","5.0"
"5365","171","Investment Account","Self-Directed","4.0"
"5366","172","Business Loan","SBA Loan","4.5"
"5367","172","Credit Card","Balance Transfer","2.8"
"5368","173","Credit Card","Travel","4.8"
"5369","173","Mortgage","Fixed Rate","3.7"
"5370","174","Business Loan","Line of Credit","3.0"
"5371","174","Mortgage","Fixed Rate","4.4"
"5372","174","Credit Card","Cashback","4.5"
"5373","175","Business Loan","Line of Credit","4.0"
"5374","175","Credit Card","Student","4.0"
"5375","175","Mortgage","Hybrid Rate","4.5"
"5376","176","Certificate of Deposit","6-Month","4.5"
"5377","176","Checking Account","Student","3.9"
"5378","177","Credit Card","Student","3.4"
"5379","177","Mortgage","Adjustable Rate","2.9"
"5380","177","Business Loan","SBA Loan","3.7"
"5381","178","Business Loan","Line of Credit","4.8"
"5382","178","Credit Card","Business","3.7"
"5383","179","Investment Account","Robo Advisor","3.8"
"5384","179","Auto Loan","Refinance","3.3"
"5385","179","Student Loan","Refinance","3.0"
"5386","180","Home Equity Loan","Fixed Rate","3.8"
"5387","180","Retirement Account","401K","3.0"
"5388","181","Student Loan","Refinance","2.9"
"5389","181","Auto Loan","New Car","3.6"
"5390","182","Savings Account","Children's Savings","2.6"
"5391","182","Personal Loan","Debt Consolidation","4.1"
"5392","183","Personal Loan","Debt Consolidation","4.1"
"5393","183","Savings Account","Children's Savings","4.1"
"5394","183","Checking Account","Senior","4.2"
"5395","184","Investment Account","Brokerage","5.0"
"5396","184","Student Loan","Federal","4.1"
"5397","184","Retirement Account","Simple IRA","3.3"
"5398","185","Retirement Account","401K","3.3"
"5399","185","Student Loan","Federal","4.1"
"5400","186","Credit Card","Balance Transfer","4.0"
"5401","186","Mortgage","Interest Only","4.0"
"5402","187","Business Loan","Term Loan","2.9"
"5403","187","Mortgage","Fixed Rate","2.8"
"5404","188","Savings Account","Children's Savings","4.4"
"5405","188","Personal Loan","Debt Consolidation","4.7"
"5406","189","Business Loan","SBA Loan","4.3"
"5407","190","Business Loan","Equipment Financing","4.0"
"5408","190","Credit Card","Cashback","3.4"
"5409","190","Mortgage","Fixed Rate","3.3"
"5410","191","Auto Loan","Lease","3.9"
"5411","191","Student Loan","Consolidation","3.9"
"5412","192","Business Loan","Equipment Financing","3.4"
"5413","192","Credit Card","Student","4.2"
"5414","193","Certificate of Deposit","6-Month","3.3"
"5415","193","Personal Loan","Unsecured","3.9"
"5416","194","Auto Loan","Lease","3.4"
"5417","195","Business Loan","SBA Loan","4.4"
"5418","195","Credit Card","Rewards","5.0"
"5419","196","Credit Card","Balance Transfer","3.6"
"5420","196","Mortgage","Balloon Payment","3.6"
"5421","196","Business Loan","Term Loan","5.0"
"5422","197","Mortgage","Fixed Rate","3.8"
"5423","197","Credit Card","Balance Transfer","3.5"
"5424","198","Savings Account","High Yield","3.5"
"5425","198","Personal Loan","Debt Consolidation","3.6"
"5426","199","Home Equity Loan","HELOC","4.8"
"5427","199","Student Loan","Private","3.7"
"5428","200","Mortgage","Reverse Mortgage","4.1"
"5429","200","Credit Card","Secured","4.3"
"5430","200","Business Loan","Equipment Financing","3.3"
"5431","201","Personal Loan","Debt Consolidation","3.6"
"5432","201","Certificate of Deposit","1-Year","3.8"
"5433","202","Checking Account","Student","3.0"
"5434","202","Certificate of Deposit","2-Year","4.3"
"5435","203","Certificate of Deposit","10-Year","4.6"
"5436","203","Personal Loan","Secured","2.2"
"5437","203","Checking Account","Interest Bearing","3.8"
"5438","204","Credit Card","Secured","3.7"
"5439","204","Business Loan","Line of Credit","5.0"
"5440","205","Business Loan","Term Loan","3.9"
"5441","205","Credit Card","Secured","4.9"
"5442","206","Auto Loan","Lease","3.4"
"5443","206","Student Loan","Refinance","4.4"
"5444","207","Mortgage","Reverse Mortgage","3.6"
"5445","208","Business Loan","SBA Loan","4.1"
"5446","208","Mortgage","Hybrid Rate","4.0"
"5447","209","Certificate of Deposit","2-Year","3.9"
"5448","209","Savings Account","Children's Savings","4.9"
"5449","210","Personal Loan","Secured","4.8"
"5450","210","Checking Account","Basic","3.2"
"5451","211","Auto Loan","Lease","4.4"
"5452","211","Home Equity Loan","HELOC","5.0"
"5453","212","Mortgage","Interest Only","3.7"
"5454","212","Credit Card","Cashback","3.8"
"5455","213","Mortgage","Interest Only","4.5"
"5456","213","Credit Card","Travel","3.7"
"5457","213","Business Loan","Equipment Financing","4.0"
"5458","214","Certificate of Deposit","3-Month","3.2"
"5459","214","Checking Account","Senior","4.6"
"5460","215","Savings Account","Money Market","4.2"
"5461","215","Certificate of Deposit","2-Year","4.1"
"5462","216","Retirement Account","IRA","4.2"
"5463","216","Investment Account","Robo Advisor","3.5"
"5464","217","Auto Loan","New Car","5.0"
"5465","217","Retirement Account","Roth IRA","4.1"
"5466","218","Investment Account","Brokerage","2.8"
"5467","218","Auto Loan","Refinance","3.8"
"5468","219","Student Loan","Consolidation","3.0"
"5469","219","Home Equity Loan","Fixed Rate","3.8"
"5470","220","Investment Account","Robo Advisor","4.7"
"5471","220","Home Equity Loan","HELOC","4.4"
"5472","220","Auto Loan","Lease","3.7"
"5473","221","Savings Account","Money Market","3.6"
"5474","222","Certificate of Deposit","5-Year","3.9"
"5475","222","Checking Account","Senior","3.5"
"5476","222","Savings Account","Regular","4.1"
"5477","223","Investment Account","Robo Advisor","4.6"
"5478","223","Home Equity Loan","HELOC","3.8"
"5479","223","Auto Loan","New Car","3.8"
"5480","224","Savings Account","Regular","5.0"
"5481","224","Checking Account","Student","5.0"
"5482","225","Savings Account","Money Market","4.4"
"5483","225","Certificate of Deposit","10-Year","3.8"
"5484","226","Credit Card","Travel","3.4"
"5485","226","Mortgage","Reverse Mortgage","4.3"
"5486","226","Business Loan","Term Loan","4.2"
"5487","227","Savings Account","High Yield","3.4"
"5488","227","Certificate of Deposit","6-Month","3.8"
"5489","228","Mortgage","Fixed Rate","4.7"
"5490","229","Student Loan","Private","4.5"
"5491","229","Auto Loan","Lease","3.3"
"5492","230","Certificate of Deposit","1-Year","4.2"
"5493","230","Checking Account","Interest Bearing","4.5"
"5494","230","Personal Loan","Unsecured","3.7"
"5495","231","Home Equity Loan","Variable Rate","3.8"
"5496","231","Auto Loan","Used Car","3.8"
"5497","232","Home Equity Loan","HELOC","4.4"
"5498","232","Retirement Account","Simple IRA","4.1"
"5499","232","Investment Account","Robo Advisor","4.2"
"5500","233","Student Loan","Private","3.8"
"5501","233","Retirement Account","Roth IRA","4.4"
"5502","234","Mortgage","Balloon Payment","3.2"
"5503","234","Credit Card","Travel","3.4"
"5504","234","Business Loan","Line of Credit","3.6"
"5505","235","Student Loan","Consolidation","3.6"
"5506","235","Home Equity Loan","Fixed Rate","4.6"
"5507","236","Checking Account","Basic","5.0"
"5508","236","Certificate of Deposit","5-Year","5.0"
"5509","237","Retirement Account","IRA","4.4"
"5510","237","Auto Loan","Used Car","4.4"
"5511","238","Student Loan","Federal","5.0"
"5512","238","Retirement Account","Simple IRA","4.9"
"5513","239","Student Loan","Consolidation","4.2"
"5514","239","Home Equity Loan","Fixed Rate","2.9"
"5515","240","Mortgage","Interest Only","4.0"
"5516","240","Credit Card","Cashback","3.9"
"5517","241","Personal Loan","Debt Consolidation","4.6"
"5518","241","Certificate of Deposit","10-Year","2.8"
"5519","241","Savings Account","Children's Savings","3.2"
"5520","242","Credit Card","Travel","3.7"
"5521","242","Business Loan","SBA Loan","3.3"
"5522","242","Mortgage","Balloon Payment","3.7"
"5523","243","Checking Account","Premium","4.8"
"5524","243","Personal Loan","Debt Consolidation","5.0"
"5525","244","Credit Card","Balance Transfer","4.0"
"5526","244","Mortgage","Fixed Rate","2.2"
"5527","245","Checking Account","Senior","3.5"
"5528","245","Savings Account","Money Market","3.7"
"5529","245","Personal Loan","Debt Consolidation","4.3"
"5530","246","Mortgage","Hybrid Rate","5.0"
"5531","246","Business Loan","SBA Loan","2.9"
"5532","247","Student Loan","Federal","3.9"
"5533","247","Retirement Account","SEP IRA","4.1"
"5534","247","Auto Loan","New Car","3.7"
"5535","248","Mortgage","Adjustable Rate","3.5"
"5536","248","Business Loan","SBA Loan","3.2"
"5537","249","Mortgage","Adjustable Rate","2.8"
"5538","249","Business Loan","Line of Credit","4.3"
"5539","250","Home Equity Loan","Fixed Rate","3.6"
"5540","250","Retirement Account","Roth IRA","3.7"
"5541","250","Auto Loan","Used Car","3.4"
"5542","251","Home Equity Loan","Variable Rate","3.1"
"5543","251","Retirement Account","IRA","3.0"
"5544","252","Personal Loan","Home Improvement","3.6"
"5545","252","Savings Account","Money Market","3.8"
"5546","252","Certificate of Deposit","1-Year","4.9"
"5547","253","Checking Account","Interest Bearing","3.5"
"5548","253","Personal Loan","Home Improvement","4.4"
"5549","254","Certificate of Deposit","1-Year","4.7"
"5550","254","Personal Loan","Secured","4.1"
"5551","255","Business Loan","SBA Loan","4.4"
"5552","255","Mortgage","Adjustable Rate","4.4"
"5553","255","Credit Card","Travel","3.5"
"5554","256","Certificate of Deposit","6-Month","4.0"
"5555","256","Checking Account","Senior","3.8"
"5556","256","Savings Account","Money Market","4.3"
"5557","257","Credit Card","Cashback","5.0"
"5558","257","Business Loan","Equipment Financing","5.0"
"5559","258","Personal Loan","Debt Consolidation","3.9"
"5560","259","Checking Account","Interest Bearing","2.8"
"5561","259","Savings Account","Children's Savings","3.6"
"5562","259","Certificate of Deposit","6-Month","3.7"
"5563","260","Credit Card","Business","5.0"
"5564","261","Credit Card","Rewards","2.8"
"5565","261","Mortgage","Interest Only","4.0"
"5566","262","Student Loan","Federal","4.7"
"5567","262","Home Equity Loan","Variable Rate","3.3"
"5568","262","Retirement Account","IRA","4.2"
"5569","263","Retirement Account","SEP IRA","3.2"
"5570","263","Student Loan","Private","4.3"
"5571","264","Home Equity Loan","Fixed Rate","5.0"
"5572","265","Personal Loan","Debt Consolidation","4.1"
"5573","265","Checking Account","Interest Bearing","3.5"
"5574","266","Credit Card","Student","3.9"
"5575","266","Business Loan","Line of Credit","3.4"
"5576","267","Business Loan","Line of Credit","3.9"
"5577","267","Mortgage","Reverse Mortgage","5.0"
"5578","268","Checking Account","Senior","3.7"
"5579","268","Savings Account","Children's Savings","4.6"
"5580","269","Investment Account","Managed","3.5"
"5581","269","Student Loan","Federal","4.3"
"5582","270","Credit Card","Balance Transfer","4.1"
"5583","270","Business Loan","Line of Credit","3.8"
"5584","270","Mortgage","Adjustable Rate","3.1"
"5585","271","Retirement Account","Simple IRA","3.5"
"5586","271","Student Loan","Consolidation","3.3"
"5587","271","Home Equity Loan","Variable Rate","2.3"
"5588","272","Student Loan","Consolidation","3.8"
