CustomerID,Channel,ResponseRate,PreferenceScore
37,Push Notification,0.85,5
37,Direct Mail,0.3,1
38,Website Chat,0.99,5
38,Push Notification,0.43,4
38,Mobile App,0.31,1
39,SMS,0.44,3
39,Email,0.32,3
39,In-Person,0.2,3
39,Phone,0.33,2
39,Direct Mail,0.52,2
39,Push Notification,0.77,5
41,Push Notification,0.44,1
41,Website Chat,0.17,1
42,Direct Mail,0.39,5
42,Phone,0.99,5
42,Email,0.33,3
42,Website Chat,0.97,2
42,In-Person,0.25,1
42,Mobile App,0.73,1
43,In-Person,0.15,4
43,Mobile App,0.2,5
43,SMS,0.35,4
43,Direct Mail,0.68,2
43,Email,0.31,4
43,Phone,0.17,1
44,SMS,0.83,4
44,Direct Mail,0.34,5
44,Mobile App,0.92,5
44,In-Person,0.95,3
44,Email,0.75,1
45,Direct Mail,0.47,1
45,In-Person,0.53,1
45,Mobile App,0.44,2
46,Website Chat,0.13,1
46,SMS,0.11,4
47,SMS,0.75,2
47,Mobile App,0.86,1
48,SMS,0.29,1
48,Mobile App,0.7,2
48,In-Person,0.42,2
48,Phone,0.55,3
48,Direct Mail,0.57,4
48,Website Chat,0.83,4
49,SMS,0.48,5
49,Mobile App,0.66,2
49,Direct Mail,0.82,4
49,In-Person,0.98,2
49,Email,0.63,3
49,Phone,0.18,2
50,Direct Mail,0.88,5
50,In-Person,0.82,2
50,Phone,0.93,2
50,SMS,0.79,4
50,Mobile App,0.51,2
51,Website Chat,0.58,3
51,Email,0.22,4
51,Mobile App,0.26,1
51,Direct Mail,0.91,3
51,Phone,0.56,2
51,Push Notification,0.64,3
52,Phone,0.18,1
52,Direct Mail,0.58,4
52,Email,0.29,2
52,Push Notification,0.22,2
53,Mobile App,0.17,3
53,Push Notification,0.93,5
53,In-Person,0.1,4
53,Website Chat,0.83,1
53,Direct Mail,0.64,4
53,SMS,0.29,2
54,Phone,0.33,3
54,Email,0.91,3
54,Mobile App,0.58,5
54,Website Chat,0.88,3
54,In-Person,0.46,1
55,In-Person,0.58,1
55,Website Chat,0.9,4
55,Direct Mail,0.53,2
55,Phone,0.81,5
55,Push Notification,0.53,4
55,Email,0.58,2
56,Website Chat,0.68,2
56,Direct Mail,0.32,3
57,Phone,0.24,4
57,Mobile App,0.87,1
57,SMS,0.17,3
57,Direct Mail,0.12,5
57,Website Chat,0.98,2
57,Email,0.62,3
58,Phone,0.84,2
58,In-Person,0.6,2
58,Mobile App,0.35,4
58,SMS,0.28,2
58,Email,0.39,3
59,In-Person,0.79,5
59,SMS,0.56,4
59,Push Notification,0.39,3
59,Phone,0.15,2
59,Direct Mail,0.51,5
60,Push Notification,0.71,1
60,Phone,0.21,3
60,Email,0.41,1
61,Phone,0.99,2
61,Website Chat,0.26,3
61,Email,0.93,4
61,In-Person,0.86,3
61,SMS,0.82,4
61,Direct Mail,0.25,5
62,Mobile App,0.63,2
62,Push Notification,0.83,3
62,Email,0.66,1
62,Website Chat,0.77,1
62,SMS,0.31,1
62,Direct Mail,0.45,2
63,Email,0.72,4
63,SMS,0.81,5
63,Mobile App,0.55,3
63,In-Person,0.81,1
63,Push Notification,0.38,5
63,Direct Mail,0.8,1
64,Mobile App,0.19,5
64,Email,0.2,4
64,Website Chat,0.51,4
64,Phone,0.46,5
64,In-Person,0.59,5
65,Push Notification,0.61,2
65,Email,0.33,5
65,Website Chat,0.84,2
65,Direct Mail,0.41,2
65,Phone,0.95,4
66,Mobile App,0.88,4
66,Direct Mail,0.19,4
66,Phone,0.81,5
67,Direct Mail,0.19,1
67,In-Person,0.93,1
67,Phone,0.2,5
68,Direct Mail,0.57,5
68,SMS,0.44,5
68,Phone,0.4,4
69,Mobile App,0.93,2
69,Direct Mail,0.52,3
70,SMS,0.32,1
70,Direct Mail,0.55,5
70,In-Person,0.92,1
71,Website Chat,0.56,1
71,Email,0.96,1
71,In-Person,0.6,4
71,Mobile App,0.58,1
71,SMS,0.37,5
71,Push Notification,0.46,3
72,SMS,0.52,3
72,Direct Mail,0.16,3
72,Mobile App,0.51,2
72,Email,0.58,1
73,SMS,0.95,2
73,Direct Mail,0.34,2
73,In-Person,0.47,4
74,Website Chat,0.28,5
74,SMS,0.64,1
74,Mobile App,0.82,3
75,Website Chat,0.87,3
75,In-Person,0.97,4
75,Push Notification,0.7,5
75,Direct Mail,0.47,2
76,SMS,0.62,4
76,Push Notification,0.73,1
76,Website Chat,0.84,4
77,Email,0.85,5
77,Push Notification,0.47,1
77,Mobile App,0.49,4
77,In-Person,0.3,2
78,Direct Mail,0.26,2
78,Mobile App,0.12,1
78,In-Person,0.59,5
78,Push Notification,0.46,1
78,Phone,0.23,3
79,Mobile App,0.12,2
79,Email,0.58,2
79,Phone,0.62,2
79,Direct Mail,0.6,1
79,Push Notification,0.55,4
80,Mobile App,0.76,2
80,Website Chat,0.64,1
80,Direct Mail,0.54,2
80,Email,0.92,2
80,Phone,0.46,2
80,In-Person,0.48,2
81,Mobile App,0.16,3
81,SMS,0.36,4
81,In-Person,0.75,3
81,Website Chat,0.95,5
81,Direct Mail,0.54,2
82,SMS,0.55,5
82,Email,0.24,1
82,In-Person,0.79,5
82,Website Chat,0.41,1
82,Push Notification,0.47,5
83,Mobile App,0.1,3
83,Push Notification,0.34,2
83,Direct Mail,0.19,5
83,In-Person,0.18,3
84,Push Notification,0.18,3
84,Mobile App,0.76,5
85,Phone,0.3,2
85,Mobile App,0.15,2
86,Mobile App,0.38,5
86,Phone,0.76,3
86,In-Person,0.93,2
87,Email,0.57,1
87,Push Notification,0.69,3
87,Website Chat,0.6,5
87,Phone,0.17,5
88,Phone,0.39,2
88,Direct Mail,0.57,5
88,In-Person,0.65,2
88,Push Notification,0.12,2
89,Mobile App,1.0,4
89,Email,0.15,1
89,Direct Mail,0.46,5
90,Direct Mail,0.48,5
90,Phone,0.76,1
90,Push Notification,0.2,2
90,In-Person,0.37,5
90,SMS,0.14,1
91,Mobile App,0.82,5
91,SMS,0.18,3
91,Phone,0.91,2
91,In-Person,0.25,4
91,Website Chat,0.16,4
91,Email,0.85,5
92,Website Chat,0.13,2
92,Mobile App,0.8,5
92,Email,0.15,1
92,Direct Mail,0.57,4
93,Website Chat,0.73,3
93,Mobile App,0.83,5
93,Direct Mail,0.3,1
94,Website Chat,0.34,4
94,Direct Mail,0.53,3
95,Push Notification,0.76,2
95,Direct Mail,0.47,3
96,Phone,0.17,1
96,Push Notification,0.16,5
96,Email,0.53,5
96,Mobile App,0.92,3
96,In-Person,0.41,2
96,Direct Mail,0.59,5
97,SMS,0.24,5
97,In-Person,0.85,1
97,Direct Mail,0.94,4
97,Website Chat,0.66,4
97,Mobile App,0.24,3
97,Phone,0.97,1
98,In-Person,0.77,2
98,Email,0.84,5
98,Phone,0.56,2
98,Mobile App,0.36,3
99,Push Notification,0.22,3
99,Phone,0.78,2
100,In-Person,0.19,4
100,Email,0.26,4
101,Direct Mail,0.53,2
101,In-Person,0.17,2
101,Push Notification,0.88,5
102,SMS,0.12,3
102,In-Person,0.33,2
102,Push Notification,0.24,2
102,Email,1.0,1
102,Website Chat,0.19,1
103,Email,0.69,3
103,Push Notification,0.88,4
103,Website Chat,0.13,5
103,Direct Mail,0.95,5
103,SMS,0.67,3
103,Mobile App,0.35,3
104,Push Notification,0.88,4
104,In-Person,0.61,4
104,Phone,0.53,4
104,Website Chat,0.27,1
105,Website Chat,0.82,4
105,Email,0.13,4
105,Push Notification,0.97,4
105,Mobile App,0.82,1
105,SMS,0.1,1
105,Phone,0.65,4
106,Direct Mail,0.39,2
106,In-Person,0.82,3
106,SMS,0.99,1
106,Phone,0.11,2
106,Mobile App,0.71,2
107,Phone,0.75,3
107,Website Chat,0.19,1
107,Push Notification,0.19,4
107,SMS,0.73,2
109,Push Notification,0.17,5
109,Phone,0.17,2
109,Website Chat,0.98,2
110,Mobile App,0.67,3
110,In-Person,0.91,1
110,Email,0.94,1
111,In-Person,0.54,3
111,Email,0.91,4
111,Phone,0.64,2
112,Website Chat,0.15,4
112,Push Notification,0.24,5
112,Phone,0.65,3
112,In-Person,0.98,4
113,Email,0.75,5
113,Push Notification,1.0,1
113,SMS,0.54,4
113,Mobile App,0.28,3
113,Phone,0.3,1
113,Direct Mail,0.86,1
114,Push Notification,0.55,2
114,Phone,0.88,1
114,Website Chat,0.49,5
114,Email,0.46,4
114,Mobile App,0.89,2
114,In-Person,0.81,2
115,Direct Mail,0.52,5
115,Email,0.76,3
115,Website Chat,0.8,4
115,Mobile App,0.92,2
116,Phone,0.49,4
116,Mobile App,0.46,1
116,Direct Mail,0.7,1
116,Email,0.45,1
116,In-Person,0.46,3
117,SMS,0.51,3
117,Phone,0.9,2
117,Push Notification,0.5,4
117,Website Chat,0.85,1
117,Mobile App,0.5,3
117,Email,0.95,1
118,Website Chat,0.53,1
118,SMS,0.73,4
118,Direct Mail,0.88,4
118,Push Notification,0.59,4
118,In-Person,0.34,2
119,Website Chat,0.3,5
119,Phone,0.94,5
120,Direct Mail,0.97,3
120,In-Person,0.12,1
121,Direct Mail,0.21,5
121,Mobile App,0.23,2
121,Website Chat,0.28,2
122,Mobile App,0.72,2
122,Website Chat,0.44,2
122,SMS,0.32,2
122,Phone,0.88,1
122,Push Notification,0.13,1
122,In-Person,0.72,1
123,SMS,0.2,4
123,Website Chat,0.24,1
124,SMS,0.76,4
124,Phone,0.69,4
125,Website Chat,0.88,1
125,Mobile App,0.21,1
125,Phone,0.4,1
125,Email,0.43,5
126,SMS,0.3,2
126,Phone,0.63,2
126,Website Chat,0.78,1
126,Direct Mail,0.44,2
127,Phone,0.23,5
127,Direct Mail,0.32,4
127,Email,0.65,2
128,SMS,0.91,5
128,Email,0.91,1
128,Mobile App,0.69,3
128,Direct Mail,0.15,5
128,Push Notification,0.53,3
129,Phone,0.94,4
129,Email,0.59,2
129,SMS,0.65,2
130,Phone,0.21,4
130,Push Notification,0.26,5
130,Direct Mail,0.27,1
131,Phone,0.83,4
131,Email,0.14,2
131,Direct Mail,0.2,5
132,Direct Mail,0.26,1
132,In-Person,0.86,1
132,Phone,0.31,5
132,Website Chat,0.37,3
132,SMS,0.87,2
132,Email,0.83,3
133,Push Notification,0.88,1
133,Mobile App,0.3,1
133,Direct Mail,0.26,5
133,Phone,0.68,4
133,In-Person,0.29,3
134,Phone,0.99,3
134,Mobile App,0.64,2
134,SMS,0.46,5
135,Website Chat,0.62,5
135,In-Person,0.17,5
136,Website Chat,0.66,5
136,In-Person,0.57,2
137,Email,0.69,4
137,Push Notification,0.39,3
137,SMS,0.27,2
137,Direct Mail,0.99,2
137,Website Chat,0.43,3
138,In-Person,0.67,1
138,Phone,0.25,2
138,Email,0.19,1
139,In-Person,0.21,3
139,Website Chat,0.24,5
139,SMS,0.76,4
139,Push Notification,0.32,5
139,Phone,0.18,2
140,Phone,0.21,2
140,Website Chat,0.41,1
141,Website Chat,0.46,2
141,Mobile App,0.64,3
141,Direct Mail,0.81,4
141,In-Person,0.87,2
141,Push Notification,0.55,1
141,Email,0.2,2
142,Email,0.84,5
142,Direct Mail,0.12,3
142,In-Person,0.73,2
142,Mobile App,0.96,2
142,Website Chat,0.68,1
142,SMS,0.62,5
143,In-Person,0.26,3
143,Phone,0.96,1
144,Push Notification,0.97,4
144,Phone,0.8,4
144,Email,0.38,4
144,Mobile App,0.5,4
144,Direct Mail,0.87,5
144,Website Chat,0.12,2
145,Email,0.29,3
145,Mobile App,0.78,1
145,SMS,0.49,1
145,Push Notification,0.23,1
145,In-Person,0.8,3
146,Push Notification,0.38,4
146,SMS,0.69,2
146,Phone,0.22,4
146,In-Person,0.46,5
146,Website Chat,0.42,3
147,Phone,0.32,3
147,Mobile App,0.48,5
147,Email,0.78,2
147,SMS,0.27,5
147,Direct Mail,0.29,5
148,Mobile App,0.14,1
148,Phone,0.2,4
148,Email,0.68,5
149,Email,0.32,2
149,Phone,0.53,1
149,Mobile App,0.65,5
149,Push Notification,0.51,5
149,SMS,0.96,1
150,Mobile App,0.17,1
150,Phone,0.86,2
151,Email,0.91,1
151,Push Notification,0.65,4
151,SMS,0.51,5
151,Direct Mail,0.24,4
151,Phone,0.56,5
152,Mobile App,0.19,1
152,SMS,0.96,5
152,Push Notification,0.45,4
152,In-Person,0.41,3
152,Direct Mail,0.7,4
152,Phone,0.42,2
153,Email,0.56,1
153,Mobile App,0.37,1
153,Phone,0.98,2
153,Website Chat,0.11,4
153,SMS,0.65,1
153,Direct Mail,0.68,2
154,Email,0.54,4
154,Direct Mail,0.24,2
154,Website Chat,0.4,2
155,Direct Mail,0.95,4
155,In-Person,0.21,3
156,Push Notification,0.89,4
156,Email,0.93,2
157,Email,0.59,3
157,SMS,0.34,4
157,Phone,0.14,2
157,Direct Mail,0.2,5
157,Mobile App,0.75,3
157,Website Chat,0.97,3
158,Direct Mail,0.65,3
158,SMS,0.24,4
158,Mobile App,0.67,5
158,Email,0.24,2
158,Website Chat,0.6,1
159,Push Notification,0.89,2
159,SMS,0.28,2
159,Direct Mail,0.77,3
159,Website Chat,0.27,1
159,Mobile App,0.44,1
160,Email,0.77,1
160,Phone,0.96,1
160,Website Chat,0.71,3
160,In-Person,0.86,3
160,Direct Mail,1.0,4
161,In-Person,0.47,5
161,Direct Mail,0.13,4
161,Email,0.26,5
161,Push Notification,0.18,4
161,Phone,0.56,3
161,SMS,0.16,2
162,Email,0.84,1
162,In-Person,0.67,3
162,Website Chat,0.15,5
162,Phone,0.77,2
162,Direct Mail,0.74,4
163,Push Notification,0.43,1
163,SMS,0.64,3
163,Direct Mail,0.79,1
163,Phone,0.94,5
164,SMS,0.72,4
164,Website Chat,0.45,1
165,Direct Mail,0.25,3
165,Phone,0.12,5
165,SMS,0.73,3
166,Email,0.89,5
166,Mobile App,0.52,4
166,Direct Mail,0.82,2
166,Push Notification,0.94,4
166,SMS,0.22,4
166,Website Chat,0.14,2
167,In-Person,0.22,1
167,Phone,0.78,1
167,Push Notification,0.96,4
167,SMS,0.14,4
168,Phone,0.5,5
168,Email,0.34,1
168,In-Person,0.54,3
168,Website Chat,0.16,2
169,Direct Mail,0.18,2
169,Push Notification,0.76,3
169,Phone,0.97,5
169,Website Chat,0.15,4
170,Push Notification,0.28,1
170,Mobile App,0.52,1
171,Phone,0.75,2
171,SMS,0.18,1
171,Direct Mail,0.57,5
171,Push Notification,0.3,4
171,In-Person,0.75,1
171,Email,0.81,1
172,Phone,0.23,1
172,Mobile App,0.7,2
173,Email,0.2,3
173,SMS,0.51,3
173,Phone,0.81,5
173,Website Chat,0.25,4
174,Phone,0.95,2
174,Email,0.78,1
174,SMS,0.12,1
174,Website Chat,0.18,3
174,Mobile App,0.92,1
175,SMS,0.44,3
175,In-Person,0.5,3
175,Email,0.28,2
176,SMS,0.46,2
176,Push Notification,0.24,4
176,Phone,0.6,2
176,Direct Mail,0.39,3
176,In-Person,0.43,3
177,In-Person,0.43,4
177,SMS,0.84,5
177,Website Chat,0.5,3
178,SMS,0.21,5
178,Website Chat,0.39,4
179,SMS,0.13,4
179,Mobile App,0.9,5
179,Push Notification,0.98,4
180,Website Chat,0.38,3
180,Direct Mail,0.91,4
180,Phone,0.51,5
180,In-Person,0.33,3
180,SMS,0.89,2
180,Push Notification,0.32,4
181,Website Chat,0.77,2
181,Direct Mail,0.77,1
181,SMS,0.49,1
182,Website Chat,0.77,2
182,SMS,0.39,4
182,Email,0.71,1
182,In-Person,0.69,1
182,Direct Mail,0.85,3
182,Push Notification,0.72,1
183,Direct Mail,0.88,1
183,Website Chat,0.81,5
183,Mobile App,0.91,3
183,SMS,0.92,3
183,Push Notification,0.1,3
183,In-Person,0.2,4
184,Email,0.53,1
184,Mobile App,0.14,2
184,In-Person,0.97,1
184,SMS,0.36,3
184,Direct Mail,0.84,3
184,Phone,0.82,4
185,SMS,0.35,4
185,Website Chat,0.2,5
185,In-Person,0.59,1
185,Mobile App,0.32,1
185,Phone,0.52,1
185,Email,0.84,5
186,In-Person,0.89,2
186,SMS,0.7,1
186,Direct Mail,0.99,5
186,Mobile App,0.85,4
187,Direct Mail,0.33,5
187,Mobile App,0.64,1
187,Email,0.76,1
187,Website Chat,0.92,4
188,Push Notification,0.39,4
188,Direct Mail,0.52,1
188,Mobile App,0.41,4
188,Phone,0.5,5
189,SMS,0.22,4
189,Website Chat,0.45,5
189,Direct Mail,0.97,4
189,Phone,0.96,2
190,Mobile App,0.53,2
190,Phone,0.92,3
190,In-Person,0.35,1
190,SMS,0.51,5
191,SMS,0.58,1
191,Direct Mail,0.11,3
192,Phone,0.56,3
192,Push Notification,0.14,1
192,Website Chat,0.46,5
192,Direct Mail,0.36,1
192,In-Person,0.2,3
193,Push Notification,0.99,5
193,SMS,0.94,5
193,Phone,0.46,4
193,Mobile App,0.76,5
194,Phone,0.96,5
194,Direct Mail,0.1,3
194,SMS,0.1,5
194,Push Notification,0.85,1
194,Email,0.64,2
194,Website Chat,0.33,4
195,Email,0.59,1
195,Push Notification,0.16,2
196,Mobile App,0.9,5
196,Phone,0.11,2
196,Push Notification,0.22,1
196,Website Chat,0.65,4
197,Direct Mail,0.85,2
197,Website Chat,0.11,4
197,Email,0.37,1
197,SMS,0.18,2
198,Mobile App,0.86,3
198,SMS,0.49,3
198,Website Chat,0.17,1
198,Phone,0.38,2
198,Direct Mail,0.63,4
198,Email,0.82,3
199,In-Person,0.64,4
199,Push Notification,0.45,2
199,SMS,0.25,5
199,Direct Mail,0.68,5
200,Push Notification,0.44,3
200,In-Person,0.41,3
201,Direct Mail,0.3,4
201,Phone,0.6,4
201,SMS,0.25,2
201,Mobile App,0.54,3
202,Email,0.93,3
202,Push Notification,0.24,2
202,Direct Mail,0.38,5
202,Website Chat,0.51,2
203,Push Notification,0.9,4
203,Phone,1.0,1
203,Email,0.99,5
203,Mobile App,0.65,4
203,Website Chat,0.13,4
203,Direct Mail,0.98,1
204,Direct Mail,0.42,2
204,Email,0.33,3
205,SMS,0.59,1
205,Direct Mail,0.62,5
205,Phone,0.5,2
206,Push Notification,0.39,2
206,Website Chat,0.52,5
206,SMS,0.23,5
206,Direct Mail,0.53,4
207,Mobile App,0.51,5
207,Email,0.77,4
207,Push Notification,0.15,4
207,Website Chat,0.52,2
208,In-Person,0.37,4
208,Direct Mail,0.36,1
208,Mobile App,0.61,3
208,SMS,0.56,1
208,Website Chat,0.43,1
209,Website Chat,0.79,4
209,Email,0.83,3
209,Direct Mail,0.28,1
209,Mobile App,0.15,5
210,Mobile App,0.5,5
210,Push Notification,0.97,5
211,Email,0.22,5
211,Mobile App,0.42,2
211,SMS,0.4,3
212,In-Person,0.18,3
212,Email,0.76,1
213,Phone,0.69,1
213,SMS,0.86,2
213,Website Chat,0.19,1
213,Mobile App,0.75,4
213,Push Notification,0.47,3
213,In-Person,0.41,3
214,Push Notification,0.88,2
214,Mobile App,0.17,2
214,Phone,0.82,4
214,Email,0.23,2
214,Direct Mail,0.46,4
215,Mobile App,0.53,1
215,In-Person,0.59,5
215,Email,0.13,3
216,In-Person,0.5,2
216,SMS,0.84,4
216,Mobile App,0.67,2
216,Website Chat,0.32,4
216,Push Notification,0.31,5
216,Direct Mail,0.82,4
217,Email,0.89,2
217,Push Notification,0.75,1
217,In-Person,0.77,1
217,Website Chat,0.1,2
217,Mobile App,0.8,2
217,SMS,0.35,1
218,Phone,0.38,3
218,SMS,0.84,3
218,Direct Mail,0.34,3
219,In-Person,0.48,4
219,Email,0.71,1
219,Push Notification,0.72,2
220,In-Person,0.23,5
220,SMS,0.74,5
220,Push Notification,0.26,4
220,Direct Mail,0.22,4
220,Website Chat,0.73,1
220,Phone,0.19,3
221,Website Chat,0.45,1
221,Phone,0.53,2
221,Push Notification,0.67,3
221,Direct Mail,0.43,4
222,Email,0.29,1
222,Direct Mail,0.88,1
223,Phone,0.94,4
223,Mobile App,0.76,4
223,Email,0.98,4
223,SMS,0.46,1
223,Push Notification,0.9,4
224,Direct Mail,0.59,5
224,Website Chat,0.72,5
224,Mobile App,0.44,2
224,SMS,0.12,4
225,In-Person,0.11,3
225,Push Notification,0.89,2
225,SMS,0.57,1
226,Push Notification,0.12,3
226,In-Person,0.44,1
226,Phone,0.21,5
226,SMS,0.41,2
226,Website Chat,0.3,1
227,Push Notification,0.86,1
227,SMS,0.59,1
227,Direct Mail,0.65,5
227,Email,0.46,4
227,Mobile App,0.91,5
228,Website Chat,0.53,2
228,Push Notification,0.62,1
229,Direct Mail,0.28,2
229,Email,0.28,2
229,Push Notification,0.91,1
229,In-Person,0.8,5
229,Phone,0.35,5
229,SMS,0.83,4
230,In-Person,0.75,1
230,Mobile App,0.9,1
230,SMS,0.72,2
230,Direct Mail,0.23,5
230,Push Notification,0.55,1
231,Direct Mail,0.32,5
231,Mobile App,0.95,5
231,Phone,0.66,2
231,In-Person,0.59,5
232,Direct Mail,0.86,3
232,SMS,0.81,3
232,Phone,0.45,4
232,Email,0.96,4
233,Push Notification,0.49,3
233,In-Person,0.26,2
233,Direct Mail,0.98,4
233,Website Chat,0.85,5
234,Mobile App,0.98,5
234,Direct Mail,0.87,4
234,Push Notification,0.32,1
234,Website Chat,0.51,1
235,Website Chat,0.11,5
235,Phone,0.44,4
235,Email,0.31,3
235,Direct Mail,0.14,2
236,Direct Mail,0.53,5
236,Mobile App,0.1,4
236,Email,0.36,3
236,Push Notification,0.96,1
236,In-Person,0.14,5
237,Push Notification,0.96,3
237,Email,0.35,1
238,Push Notification,0.69,2
238,SMS,0.91,2
238,Phone,0.93,4
239,Direct Mail,0.26,2
239,Mobile App,0.71,1
239,SMS,0.96,5
240,Push Notification,0.35,4
240,Email,0.49,2
240,SMS,0.9,5
240,Mobile App,0.79,2
241,Phone,0.4,4
241,Website Chat,0.67,3
241,Push Notification,0.16,3
241,Email,0.56,3
241,In-Person,0.19,3
242,Email,0.89,5
242,Push Notification,0.35,5
242,Phone,0.13,5
242,Website Chat,0.79,1
242,Direct Mail,0.63,4
242,In-Person,0.57,5
243,Mobile App,0.1,4
243,Website Chat,0.97,3
244,Website Chat,0.91,5
244,Mobile App,0.74,3
244,SMS,0.34,1
244,Phone,0.43,3
244,Push Notification,1.0,4
245,Website Chat,0.74,3
245,SMS,0.34,1
245,Mobile App,0.34,2
245,Direct Mail,0.53,1
245,Phone,0.64,4
245,Email,0.67,3
246,SMS,0.43,1
246,Mobile App,0.5,2
246,Website Chat,0.73,3
246,Phone,0.82,2
246,Direct Mail,0.76,1
246,Email,0.35,3
247,SMS,0.21,1
247,Phone,0.75,5
248,Direct Mail,0.12,4
248,Website Chat,0.21,2
249,Direct Mail,0.84,1
249,Email,0.58,3
250,Push Notification,0.96,3
250,Website Chat,0.89,1
250,SMS,0.24,4
250,Mobile App,0.66,2
250,Direct Mail,0.88,3
250,Phone,0.55,3
251,Mobile App,0.12,5
251,In-Person,0.38,3
251,Email,0.47,1
253,Direct Mail,0.36,1
253,Website Chat,0.72,5
253,Phone,0.16,4
253,SMS,0.98,4
253,In-Person,0.7,3
253,Push Notification,0.81,5
254,Mobile App,0.57,1
254,Phone,0.19,2
254,Push Notification,0.2,1
254,Website Chat,0.76,2
254,Email,0.62,1
255,In-Person,0.77,2
255,Website Chat,0.36,2
255,Direct Mail,0.72,2
255,SMS,0.64,3
256,Website Chat,0.64,4
256,In-Person,0.18,2
256,SMS,0.34,2
256,Email,0.73,3
256,Phone,0.71,1
256,Mobile App,0.7,1
257,In-Person,0.2,2
257,Direct Mail,0.65,3
257,Push Notification,0.76,5
257,Email,0.28,4
258,SMS,0.62,1
258,Phone,0.59,3
258,Website Chat,0.96,4
259,Phone,0.49,3
259,Website Chat,0.9,5
260,SMS,0.11,4
260,Push Notification,0.65,1
261,Direct Mail,0.84,4
261,Email,0.11,1
262,Direct Mail,0.48,2
262,Email,0.64,2
263,Website Chat,0.81,3
263,Email,0.66,1
263,In-Person,0.33,3
264,Phone,0.58,1
264,Mobile App,0.88,1
264,Direct Mail,0.91,1
264,In-Person,0.13,3
265,Email,0.55,2
265,Mobile App,0.68,5
